Name,LiI-6707,OI-7771,OI-7774,OI-7775,NaI-5682,NaI-5688,NaI-5889,NaI-5895,KI-7664,KI-7698
BD+19 1185A,0.0,-0.11,-0.1,-0.09,-0.09,-0.09,,,,-0.42
BD+24 1676,-0.04,-0.34,-0.33,,,,-0.28,-0.17,,-0.26
BD+26 3578,-0.04,-0.27,-0.27,-0.26,,,,,,
BD+29 2356,0.14,-0.07,,,-0.06,-0.08,,,,-0.53
BD+44 493,0.06,,,,,,,,,
BD+80 245,0.0,-0.11,-0.11,,,,,,,
CD-38 245,0.13,-0.05,-0.05,-0.05,,,,,,
CD-36 1052,0.04,-0.32,-0.3,-0.26,,,,,,-0.38
CD-30 298,0.09,-0.07,-0.07,-0.07,,,-0.14,,,
CD-24 1782,0.06,-0.08,-0.08,-0.08,,,,,-0.27,
G004-036,-0.03,-0.17,,,,,,,,
G004-037,-0.04,-0.36,-0.36,,,,,,,
G009-027,-0.01,,,,,-0.07,,,,
G010-054,-0.01,,,,,,,,,
G015-010,0.01,-0.09,,,,,,,,
G016-025,0.0,,,,,,,,,
G025-022,-0.02,,,,,,,,,
G025-024,-0.03,-0.15,-0.14,-0.13,,,,,,-0.34
G026-001,-0.04,-0.14,,,-0.08,,,,,
G064-012,-0.03,-0.41,-0.4,-0.4,,,,-0.06,,
G071-055,-0.03,-0.12,-0.11,-0.1,,,,,,
G075-056,-0.05,,,,,,,,,
G088-023,-0.04,,,,,,,,,
G090-003,-0.04,,-0.14,,,-0.08,,,,-0.31
G090-025,0.01,-0.07,-0.07,,,,,,,-0.34
G107-050,-0.05,,,,,,,,,
G115-049,-0.02,,,,,,,,,
G122-069,-0.03,,,,,,,,,
G126-062,-0.04,-0.19,-0.17,-0.15,,,-0.5,,-0.47,-0.44
G137-086,-0.04,,,,,,,,,
G146-056,0.01,,,,-0.07,-0.08,,,,
G146-076,0.06,-0.1,,,-0.05,,,,,
G153-064,0.0,-0.16,-0.15,-0.12,-0.1,-0.12,,,-0.49,-0.5
G161-073,-0.02,-0.2,-0.18,-0.16,-0.08,-0.1,,,-0.64,-0.59
G166-047,-0.04,,,,,,-0.41,,,
G170-047,0.07,,,,,,,,,
G180-058,-0.01,-0.1,,,,,,,-0.3,
G186-026,-0.02,,,,,,,,,
G188-022,-0.04,,-0.19,-0.17,-0.09,-0.1,,,-0.53,
G188-030,0.02,,,,,,,,,
G190-010,0.0,-0.07,-0.07,,,,,,,
G190-015,0.0,-0.1,-0.1,-0.1,,,,,,-0.25
G199-066,-0.03,,,,,,,,,
G201-044,-0.05,-0.2,-0.18,,,,,,,
G206-034,-0.03,,,,,,,,,
G214-001,-0.03,,,,,,,,,
G234-028,-0.04,-0.17,-0.15,-0.14,,,,,,
G238-030,-0.02,,,,,,,,,
G238-032,0.0,,,,-0.08,-0.08,,,,
HD 6268,0.15,-0.06,-0.06,-0.06,,,,,,
HD 11582,0.06,-0.11,-0.1,-0.09,-0.08,-0.09,,,,-0.62
HD 13979,0.1,-0.08,,-0.07,,,-0.4,-0.33,,-0.32
HD 16031,-0.04,-0.15,-0.14,-0.12,,,-0.49,,,
HD 19445,-0.04,,-0.19,-0.18,,,,,,-0.31
HD 21581,0.07,-0.12,-0.11,-0.1,-0.08,-0.09,,,-0.69,
