Found, Query_ID           , RA_input   , DEC_input   , MAIN_ID                , RA           , DEC          , RA_PREC, DEC_PREC, COO_ERR_MAJA, COO_ERR_MINA, COO_ERR_ANGLE, COO_QUAL, COO_WAVELENGTH, COO_BIBCODE        , FLUX_U, FLUX_B, FLUX_V, FLUX_R, FLUX_I, FLUX_J, FLUX_H, FLUX_K, OTYPE    , SP_TYPE, RA_2         , DEC_2        , PMRA  , PMDEC , PLX_VALUE, RV_VALUE   , SCRIPT_NUMBER_ID
True , [CSF2018] 10-8-437 , 01:01:15.05, -33:50:02.63, [CSF2018] 10-8-437     , 01 01 15.0484, -33 50 02.553,      14,       14,       0.1343,       0.074 ,            90, A       , O             , 2020yCat.1350....0G,       ,       , 19.19 ,       , 17.97 , 17.36 , 16.86 , 16.75 , ChemPec* , CEMP-s , 01 01 15.0484, -33 50 02.553, -0.042, -0.106,    0.1251, 120.9      ,                1
True , [CSF2018] 10-8-440 , 01:01:14.29, -33:39:27.82, [CSF2018] 10-8-440     , 01 01 14.3003, -33 39 27.925,      14,       14,       0.1923,       0.085 ,            90, A       , O             , 2020yCat.1350....0G,       ,       ,       ,       ,       ,       ,       ,       , ChemPec* ,        , 01 01 14.3003, -33 39 27.925, 0.546 , -0.391,    0.3231,            ,                1
True , [CSF2018] 10-8-462 , 01:01:13.19, -33:43:20.56, [CSF2018] 10-8-462     , 01 01 13.2006, -33 43 20.655,      14,       14,       0.1315,       0.0635,            90, A       , O             , 2020yCat.1350....0G,       ,       , 18.95 ,       , 17.82 , 17.2  , 16.7  , 16.69 , ChemPec* ,        , 01 01 13.2006, -33 43 20.655, 0.267 , -0.229,          , 110.7      ,                1
True , [CSF2018] 10-8-577 , 01:01:06.92, -33:46:13.15, [CSF2018] 10-8-577     , 01 01 06.9352, -33 46 13.196,      14,       14,       0.2235,       0.1127,            90, A       , O             , 2020yCat.1350....0G,       ,       ,       ,       ,       ,       ,       ,       , ChemPec* ,        , 01 01 06.9352, -33 46 13.196, 0.134 , 0.207 ,          ,            ,                1
True , [CSF2018] 10-8-61  , 01:01:47.52, -33:47:27.64, [CSF2018] 10-8-61      , 01 01 47.4804, -33 47 27.568,      14,       14,       0.1228,       0.0596,            90, A       , O             , 2020yCat.1350....0G,       , 19.482, 18.674,       , 17.671, 16.975,       , 16.447, ChemPec* ,        , 01 01 47.4804, -33 47 27.568, 0.152 , -0.07 ,          ,            ,                1
True , [CSF2018] 10-8-758 , 01:00:57.56, -33:39:39.74, [CSF2018] 10-8-758     , 01 00 57.5732, -33 39 39.773,      14,       14,       0.2725,       0.1183,            90, A       , O             , 2020yCat.1350....0G,       ,       , 19.83 ,       , 18.75 ,       ,       ,       , ChemPec* ,        , 01 00 57.5732, -33 39 39.773, 0.062 , 0.157 ,          , 111.7      ,                1
True , [CSF2018] 10-8-798 , 01:00:56.41, -33:49:47.18, [CSF2018] 10-8-798     , 01 00 56.4230, -33 49 47.167,      14,       14,       0.1019,       0.0546,            90, A       , O             , 2020yCat.1350....0G,       ,       , 18.78 ,       , 17.6  , 16.96 , 16.39 , 16.31 , ChemPec* ,        , 01 00 56.4230, -33 49 47.167, 0.137 , -0.276,          , 124.0      ,                1
True , [CSF2018] 11-1-2583, 00:59:57.59, -33:38:32.54, 2MASS J00595762-3338325, 00 59 57.6067, -33 38 32.487,      14,       14,       0.0713,       0.0359,            90, A       , O             , 2020yCat.1350....0G,       , 19.08 , 17.94 ,       , 16.677, 15.83 , 15.22 , 15.13 , RGB*     ,        , 00 59 57.6067, -33 38 32.487, 0.188 , -0.211,    0.073 , 115.78     ,                1
True , [CSF2018] 11-1-3246, 00:59:51.19, -33:44:51.82, 2MASS J00595120-3344517, 00 59 51.2049, -33 44 51.851,      14,       14,       0.0767,       0.0381,            90, A       , O             , 2020yCat.1350....0G,       , 19.12 , 18.01 ,       ,       , 16.05 , 15.34 , 15.32 , ChemPec* ,        , 00 59 51.2049, -33 44 51.851, 0.017 , -0.098,          ,            ,                1
True , [CSF2018] 11-1-3334, 00:59:49.62, -33:40:41.78, SCMS  280              , 00 59 49.6309, -33 40 41.759,      14,       14,       0.1539,       0.0682,            90, A       , O             , 2020yCat.1350....0G,       , 20.07 , 18.97 ,       , 17.87 , 17.06 , 16.54 , 16.52 , ChemPec* , CEMP-s , 00 59 49.6309, -33 40 41.759, 0.319 , -0.233,    0.2281, 102.6      ,                1
