name,Element,N,Solar,Logeps,[X/H],[X/Fe],[X/H]_err,ul,[X/H]_errteff,[X/H]_errlogg,[X/H]_errvt,[X/H]_errsys,[X/H]_errtot,[X/Fe]_errteff,[X/Fe]_errlogg,[X/Fe]_errvt,[X/Fe]_errsys,[X/Fe]_errtot
lmc206,26.0,66,7.5,4.94,-2.56,0.0,0.24,0.0,0.23,-0.03,-0.06,0.24,0.34,0.0,0.0,-0.0,0.0,0.24
lmc206,26.1,12,7.5,4.94,-2.56,0.0,0.24,0.0,-0.01,0.11,-0.04,0.12,0.27,-0.24,0.14,0.02,0.28,0.37
lmc206,27.0,1,4.99,1.88,-3.11,-0.55,0.24,0.0,0.24,-0.02,-0.02,0.24,0.34,0.01,0.01,0.04,0.04,0.24
lmc206,28.0,1,6.22,3.22,-3.0,-0.44,0.24,0.0,0.2,-0.02,-0.03,0.2,0.31,-0.03,0.01,0.03,0.04,0.24
lmc206,38.1,2,2.87,-0.68,-3.55,-0.99,0.44,0.0,0.1,0.09,-0.16,0.21,0.49,-0.13,0.12,-0.1,0.2,0.48
lmc206,39.1,1,2.21,-0.32,-2.52,0.04,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc206,40.1,1,2.58,0.53,-2.05,0.51,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc206,56.1,2,2.18,-1.54,-3.72,-1.16,0.24,0.0,0.11,0.1,-0.03,0.15,0.28,-0.12,0.13,0.03,0.18,0.3
lmc206,57.1,1,1.1,-1.03,-2.13,0.43,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc206,63.1,1,0.52,-1.68,-2.2,0.36,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc206,106.0,2,8.43,5.52,-2.9,-0.34,0.24,0.0,0.28,-0.07,0.0,0.29,0.38,0.05,-0.04,0.06,0.09,0.26
lmc215,11.0,2,6.24,3.54,-2.7,0.39,0.17,0.0,0.16,-0.11,-0.12,0.23,0.29,-0.05,-0.03,-0.06,0.08,0.19
