JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7432,,ROE10c,Roederer+2010c,G140-046,BD+05 3640,,,,,,,,,18:12:21.8774,+05:24:04.408,,,,,,11.16,,9.9,,8.854,8.45,8.341,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,3.65,,,,,,,1.46,,,,,,,,,,,,0.54,,,,,-0.41,,,,,,,,,,,,,,,,1.19,,,,,,,,,,Yelland
7433,,ROE10c,Roederer+2010c,G153-021,BD-06 4346,,,,,,,,,16:03:00.1729,-06:27:11.168,,,,,,10.93,10.18,,,8.764,8.444,8.359,,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,4.06,,,,,,,1.46,,,,,,,,,,,,0.59,,,,,0.34,,,,,,,,,,,,,,,,<1.65,,,,,,,,,,Yelland
7434,,ROE10c,Roederer+2010c,G176-053,BD+51 1696,,,,,,,,,11:46:35.1556,+50:52:54.680,,,,,10.32,10.47,,9.5,,8.678,8.375,8.306,,,-1.34,,,,,,,,,,,,,,,,,,,,,,,,,3.18,,,,,,,0.63,,,,,,,,,,,,-0.08,,,,,-0.32,,,,,,,,,,,,,,,,<1.05,,,,,,,,,,Yelland
7435,,ROE10c,Roederer+2010c,G179-022,BD+33 2560,,,,,,,,,15:14:26.1845,+33:00:38.275,,,,,,11.5,,10.1,,9.179,8.769,8.717,,,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,3.34,,,,,,,0.79,,,,,,,,,,,,0.02,,,,,-0.22,,,,,,,,,,,,,,,,0.39,,,,,,,,,,Yelland
7436,,ROE10c,Roederer+2010c,G180-024,BD+42 2667,,,,,,,,,16:03:13.2988,+42:14:46.651,,,,,,10.33,,9.6,,8.822,8.517,8.491,,,-1.34,,,,,,,,,,,,,,,,,,,,,,,,,3.23,,,,,,,0.72,,,,,,,,,,,,-0.19,,,,,-0.58,,,,,,,,,,,,,,,,<1.65,,,,,,,,,,Yelland
7437,,ROE10c,Roederer+2010c,G188-022,BD+26 4251,,,,,,,,,21:43:57.1238,+27:23:23.989,,,,,,,,9.9,,8.984,8.737,8.645,,,-1.52,,,,,,,,,,,,,,,,,,,,,,,,,3.24,,,,,,,0.94,,,,,,,,,,,,-0.12,,,,,-0.6,,,,,,,,,,,,,,,,<1.3,,,,,,,,,,Yelland
7438,,ROE10c,Roederer+2010c,G191-055,BD+58 876,,,,,,,,,05:57:28.5835,+58:40:48.672,,,,,,,,10.2,,9.35,9.025,8.916,,,-1.63,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,,,0.23,,,,,,,,,,,,-0.41,,,,,-0.89,,,,,,,,,,,,,,,,<1.1,,,,,,,,,,Yelland
7439,,ROE10c,Roederer+2010c,G192-043,G 192-43,,,,,,,,,06:47:44.9352,+58:38:34.532,,,,,,10.75,,10.1,,9.301,9.054,9.001,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,3.12,,,,,,,0.71,,,,,,,,,,,,-0.02,,,,,-0.25,,,,,,,,,,,,,,,,<1.6,,,,,,,,,,Yelland
7440,,ROE10c,Roederer+2010c,G221-007,HD 20039,,,,,,,,SB,03:18:38.5002,+72:16:30.442,,,,,,,,8.4,,7.397,6.98,6.908,,,-0.98,,,,,,,,,,,,,,,,,,,,,,,,,3.65,,,,,,,1.02,,,,,,,,,,,,0.28,,,,,-0.11,,,,,,,,,,,,,,,,1.69,,,,,,,,,,Yelland
7441,,ROE10c,Roederer+2010c,HD 2665,HD 2665,,,,,,,,,00:30:45.4469,+57:03:53.628,,,,,8.66,8.51,7.72,,,6.026,5.603,5.474,,,-1.99,,,,,,,,,,,,,,,,,,,,,,,,,2.49,,,,,,,-0.42,,,,,,,,,,,,-0.92,,,,,-1.15,,,,,,,,,,,,,,,,<0.3,,,,,,,,,,Yelland
7442,,ROE10c,Roederer+2010c,HD 2796,HD 2796,,,,,,,,,00:31:16.9147,-16:47:40.790,,,,,9.58,9.28,8.5,8.14,8.67,6.853,6.391,6.256,,,-2.47,,,,,,,,,,,,,,,,,,,,,,,,,2.37,,,,,,,-0.51,,,,,,,,,,,,-1.47,,,,,-1.84,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
