Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,R,H,I,V,B,J,K,U,otype,plx_value,pmdec,rvz_nature,rvz_qual,pmra,sp_qual,sp_bibcode,sp_type
True,,BL198,02:39:19.83,-34:26:27.1,2MASS J02391986-3426275,39.83272157902,-34.44096873523999,0.0527,0.0699,90,O,2020yCat.1350....0G,,15.201000213623047,16.8700008392334,18.309999465942383,,16.040000915527344,14.932000160217285,,RG*,0.0939,-0.472,s,B,0.525,,,
True,,BL203,02:39:50.64,-34:26:47.0,2MASS J02395065-3426474,39.961101063879994,-34.446512223359996,0.0584,0.0813,90,O,2020yCat.1350....0G,17.658000946044922,15.126999855041504,16.90999984741211,18.389999389648438,20.08799934387207,15.920000076293945,14.923999786376953,,RG*,,-0.234,s,A,0.283,,,
True,,BL204,02:39:16.23,-34:32:29.9,[LHT2010] BL204,39.81775837628,-34.54169484948,0.0649,0.0859,90,O,2020yCat.1350....0G,,15.310999870300293,17.170000076293945,18.649999618530273,,16.216999053955078,15.505000114440918,,*,,-0.434,s,A,0.374,,,
True,,BL205,02:39:38.06,-34:37:06.2,GB07 Fnx32,39.90872214057,-34.61841971681,0.0546,0.0742,90,O,2020yCat.1350....0G,,15.673999786376953,17.06999969482422,18.493999481201172,,16.44300079345703,15.309000015258789,,RG*,0.0373,-0.415,s,A,0.401,,,
True,,BL207,02:39:26.29,-34:29:03.4,2MASS J02392632-3429036,39.8596665093,-34.48435838568,0.0618,0.0802,90,O,2020yCat.1350....0G,,15.154999732971191,16.84000015258789,18.3799991607666,,15.696000099182129,14.628999710083008,,*,,-0.178,s,A,0.047,,,
True,,BL208,02:39:32.94,-34:32:06.2,2MASS J02393297-3432061,39.88736257421,-34.535064266380004,0.0564,0.0761,90,O,2020yCat.1350....0G,17.650999069213867,15.15999984741211,17.0,18.420000076293945,19.898000717163086,16.152000427246094,14.942000389099121,,RG*,0.0921,-0.407,s,A,0.351,,,
True,,BL210,02:39:47.65,-34:27:05.4,2MASS J02394768-3427058,39.94865552542,-34.45160790032,0.0536,0.0741,90,O,2020yCat.1350....0G,17.62299919128418,15.197999954223633,16.90999984741211,18.3799991607666,19.93199920654297,15.970999717712402,14.979000091552734,,RG*,,-0.239,s,A,0.344,,,
True,,BL211,02:39:51.18,-34:29:58.6,[MOW91]  16,39.96340540387,-34.49968532733,0.0523,0.0758,90,O,2020yCat.1350....0G,,14.774999618530273,16.739999771118164,18.56999969482422,20.200000762939453,15.795000076293945,14.694000244140625,,RG*,0.1238,-0.406,s,A,0.373,,,
True,,BL213,02:39:50.18,-34:35:59.3,2MASS J02395022-3435595,39.95924167004,-34.5998395367,0.0575,0.0766,90,O,2020yCat.1350....0G,17.61400032043457,15.107000350952148,16.899999618530273,18.350000381469727,19.913999557495117,15.805999755859375,,,*,,0.552,s,A,0.125,,,
True,,BL216,02:39:41.92,-34:30:35.9,GB07 Fnx14,39.92478962575,-34.51000537318,0.0562,0.074,90,O,2020yCat.1350....0G,,14.892999649047852,16.84000015258789,18.488000869750977,,15.656000137329102,14.746000289916992,,RG*,0.0886,-0.513,s,A,0.476,,,
True,,BL218,02:39:50.77,-34:28:36.5,WEL  60,39.96166118229,-34.47689712218,0.0515,0.0717,90,O,2020yCat.1350....0G,,14.821000099182129,,18.530000686645508,,15.718000411987305,14.66100025177002,,RG*,,-0.325,s,A,0.414,D,1990A&A...233...21L,K5
True,,BL221,02:39:31.85,-34:29:19.9,2MASS J02393189-3429201,39.88283914618,-34.48893317692,0.0557,0.0725,90,O,2020yCat.1350....0G,17.636999130249023,15.020000457763672,16.940000534057617,18.509000778198242,19.988000869750977,15.923999786376953,15.104999542236328,,RG*,0.002,-0.482,s,A,0.5,,,
True,,BL227,02:39:45.25,-34:31:57.8,[LHT2010] BL227,39.93864658603958,-34.53274090297972,0.0583,0.0788,90,O,2020yCat.1350....0G,,14.98900032043457,,,,15.940999984741211,14.666999816894531,,RG*,,-0.373,s,A,0.458,,,
True,,BL228,02:39:53.84,-34:29:56.4,2MASS J02395387-3429567,39.97444928873001,-34.499044100099994,0.0521,0.073,90,O,2020yCat.1350....0G,,15.0,16.700000762939453,18.290000915527344,20.469999313354492,15.706000328063965,14.753000259399414,,RG*,,-0.351,s,A,0.321,,,
