Seq,Name,[Fe/H],Species,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_[X/H],Nlines
11,CS 22172-002,-3.86,Mg I,,3.92,,-3.66,,0.2,0.08,8
11,CS 22172-002,-3.86,Al I,,1.81,,-4.66,,-0.8,,2
11,CS 22172-002,-3.86,Si I,,4.1,,-3.45,,0.41,,1
11,CS 22172-002,-3.86,K I,,1.71,,-3.41,,0.45,,2
11,CS 22172-002,-3.86,Ca I,,2.87,,-3.49,,0.37,0.1,11
11,CS 22172-002,-3.86,Sc II,,-0.8,,-3.97,,-0.11,0.06,6
11,CS 22172-002,-3.86,Ti I,,1.51,,-3.51,,0.35,0.09,14
11,CS 22172-002,-3.86,Ti II,,1.3,,-3.72,,0.14,0.12,28
11,CS 22172-002,-3.86,Cr I,,1.4,,-4.27,,-0.41,0.17,6
11,CS 22172-002,-3.86,Mn I,,0.94,,-4.45,,-0.59,0.02,3
11,CS 22172-002,-3.86,Fe I,,3.64,,-3.86,,0.0,0.17,139
11,CS 22172-002,-3.86,Fe II,,3.64,,-3.86,,0.0,0.1,12
11,CS 22172-002,-3.86,Co I,,1.53,,-3.39,,0.47,0.11,4
11,CS 22172-002,-3.86,Ni I,,2.24,,-4.01,,-0.15,0.05,3
11,CS 22172-002,-3.86,Zn I,,1.23,,-3.37,,0.49,,1
12,CS 22186-025,-3.0,C-H,,4.9,,-3.62,,-0.62,,
12,CS 22186-025,-3.0,C-N,,,,,,,,
12,CS 22186-025,-3.0,O I,,6.36,,-2.41,,0.59,,
12,CS 22186-025,-3.0,Na I,,3.67,,-2.66,,0.34,,2
12,CS 22186-025,-3.0,Mg I,,4.94,,-2.64,,0.36,0.14,8
12,CS 22186-025,-3.0,Al I,,2.69,,-3.78,,-0.78,,2
12,CS 22186-025,-3.0,Si I,,5.0,,-2.55,,0.45,,1
12,CS 22186-025,-3.0,K I,,2.67,,-2.45,,0.55,,1
12,CS 22186-025,-3.0,Ca I,,3.71,,-2.65,,0.35,0.11,16
12,CS 22186-025,-3.0,Sc II,,0.32,,-2.85,,0.15,0.06,7
12,CS 22186-025,-3.0,Ti I,,2.34,,-2.68,,0.32,0.09,14
12,CS 22186-025,-3.0,Ti II,,2.32,,-2.7,,0.3,0.06,26
12,CS 22186-025,-3.0,Cr I,,2.33,,-3.34,,-0.34,0.12,7
12,CS 22186-025,-3.0,Mn I,,2.01,,-3.38,,-0.38,0.01,3
12,CS 22186-025,-3.0,Fe I,,4.5,,-3.0,,0.0,0.14,144
12,CS 22186-025,-3.0,Fe II,,4.5,,-3.0,,0.0,0.09,16
12,CS 22186-025,-3.0,Co I,,2.15,,-2.77,,0.23,0.12,4
12,CS 22186-025,-3.0,Ni I,,3.23,,-3.02,,-0.02,0.02,3
12,CS 22186-025,-3.0,Zn I,,1.92,,-2.68,,0.32,,1
13,CS 22189-009,-3.49,C-H,,5.3,,-3.22,,0.27,,
13,CS 22189-009,-3.49,C-N,,,,,,,,
13,CS 22189-009,-3.49,O I,,,,,,,,
13,CS 22189-009,-3.49,Na I,,2.54,,-3.79,,-0.3,,2
