Name,Teff,logg,log_L,[Fe/H],[N/Fe]_ul,[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,[Sr/Fe]_ul,[Sr/Fe],[Ba/Fe]_ul,[Ba/Fe],I/O,Reference,Ref,MP_key,Ncap_key,C_key
SDSS J0918+37,6463,4.34,0.2,-2.98,,,2.82,0.0,2.82,,,,1.7,0,Yong+2013,YON13,VMP,RS,CE
SDSS J0924+40,6196,3.77,0.69,-2.68,,,2.72,0.0,2.72,,,,1.73,0,Yong+2013,YON13,VMP,RS,CE
SDSS J1029+17,5811,4.0,0.35,-4.99,0.2,,0.7,0.0,0.7,,,,,1,Caffau+2011,CAF11,UMP,,CE
SDSS J1036+12,6000,4.0,0.41,-3.2,,1.29,1.47,0.0,1.47,,,,1.17,0,Masseron+2012,MAS12,EMP,RS,CE
SDSS J1114+18,6200,4.0,0.47,-3.35,,,3.25,0.0,3.25,,,,1.62,0,Spite+2013,SPI13,EMP,RS,CE
SDSS J1143+20,6240,4.0,0.48,-3.15,,,2.75,0.0,2.75,,,,1.84,0,Spite+2013,SPI13,EMP,RS,CE
SDSS J1241-08,5150,2.5,1.64,-2.73,,,0.5,0.01,0.51,,,,-0.45,1,Aoki+2013,AOK13,VMP,,
SDSS J1242-03,5150,2.5,1.64,-2.77,,,0.64,0.01,0.65,,,,-0.11,1,Aoki+2013,AOK13,VMP,,
SDSS J1245-07,6100,4.0,0.44,-3.17,,,2.53,0.0,2.53,,,,2.09,0,Aoki+2013,AOK13,EMP,RS,CE
SDSS J1349-02,6200,4.0,0.47,-3.0,,1.6,2.82,0.0,2.82,,,,2.17,0,Masseron+2012,MAS12,EMP,RS,CE
SDSS J1422+00,5200,2.2,1.96,-3.03,,,1.7,0.01,1.71,,,,-1.18,1,Aoki+2013,AOK13,EMP,,NO
SDSS J1612+04,5350,3.3,0.91,-2.86,,,0.63,0.0,0.63,,,,0.05,1,Aoki+2013,AOK13,VMP,,
SDSS J1613+53,5350,2.1,2.11,-3.33,,,2.09,0.02,2.11,,,,0.03,1,Aoki+2013,AOK13,EMP,,CE
SDSS J1626+14,6400,4.0,0.52,-2.99,,,2.86,0.0,2.86,,,,1.69,0,Aoki+2013,AOK13,VMP,RS,CE
SDSS J1646+28,6100,4.0,0.44,-3.05,,,2.52,0.0,2.52,,,,1.78,0,Aoki+2013,AOK13,EMP,RS,CE
SDSS J1703+28,5100,4.8,-0.67,-3.21,,,0.28,0.0,0.28,,,,,1,Aoki+2013,AOK13,EMP,,
SDSS J1707+58,6700,4.2,0.4,-2.52,,,2.14,0.0,2.14,,,,3.4,0,Aoki+2008,AOK08,VMP,RS,CE
SDSS J1734+43,5200,2.7,1.46,-2.51,,,1.78,0.02,1.8,,,,1.61,0,Aoki+2013,AOK13,VMP,RS,CE
SDSS J1746+24,5350,2.6,1.61,-3.17,,,1.24,0.01,1.25,,,,0.26,1,Aoki+2013,AOK13,EMP,,CE
SDSS J1836+63,5350,3.0,1.21,-2.85,,,2.02,0.01,2.03,,,,2.37,0,Aoki+2013,AOK13,VMP,RS,CE
SDSS J2047+00,6383,4.36,0.16,-2.36,,,2.0,0.0,2.0,,,,1.7,0,Yong+2013,YON13,VMP,RS,CE
SDSS J2206-09,5100,2.1,2.03,-3.17,,,0.64,0.01,0.65,,,,-0.85,1,Aoki+2013,AOK13,EMP,,
SDSS J2209-00,6440,4.0,0.53,-4.0,,,2.56,0.0,2.56,,,1.05,,1,Spite+2013,SPI13,UMP,,NO
SDSS J2357-00,5200,4.8,-0.64,-3.2,,,0.57,0.0,0.57,,,,1.33,0,Aoki+2013,AOK13,EMP,,
