ID,Wave,Species,ExPot,log(gf),EW,f_EW,logX
SMSS~J000113.96-363337.9,4534.78,22.0,0.84,0.336,59.5,,2.7
SMSS~J000113.96-363337.9,4535.567,22.0,0.83,0.12,51.2,,2.75
SMSS~J000113.96-363337.9,4541.523,26.1,2.86,-3.05,28.4,,5.21
SMSS~J000113.96-363337.9,4544.687,22.0,0.82,-0.52,26.1,,2.87
SMSS~J000113.96-363337.9,4545.95,24.0,0.94,-1.37,30.1,,3.14
SMSS~J000113.96-363337.9,4548.76,22.0,0.83,-0.298,26.7,,2.68
SMSS~J000113.96-363337.9,4554.033,56.1,0.0,0.163,,s,-1.25
SMSS~J000113.96-363337.9,4555.49,22.0,0.85,-0.432,25.8,,2.81
SMSS~J000113.96-363337.9,4558.594,24.1,4.07,-0.656,34.4,,3.55
SMSS~J000113.96-363337.9,4563.77,22.1,1.22,-0.96,112.2,,3.08
SMSS~J000113.96-363337.9,4571.096,12.0,0.0,-5.688,87.7,,5.76
SMSS~J000113.96-363337.9,4571.971,22.1,1.57,-0.32,121.1,,3.08
SMSS~J000113.96-363337.9,4576.34,26.1,2.84,-2.95,34.4,,5.22
SMSS~J000113.96-363337.9,4580.056,24.0,0.94,-1.65,22.6,,3.25
SMSS~J000113.96-363337.9,4583.84,26.1,2.81,-1.93,77.3,,5.1
SMSS~J000113.96-363337.9,4588.142,24.1,4.07,-0.826,23.3,,3.45
SMSS~J000113.96-363337.9,4589.915,22.1,1.24,-1.79,79.3,,3.16
SMSS~J000113.96-363337.9,4592.651,26.0,1.56,-2.462,74.6,,5.34
SMSS~J000113.96-363337.9,4600.752,24.0,1.0,-1.26,30.1,,3.1
SMSS~J000113.96-363337.9,4602.941,26.0,1.49,-2.208,83.1,,5.22
SMSS~J000113.96-363337.9,4616.137,24.0,0.98,-1.19,32.7,,3.06
SMSS~J000113.96-363337.9,4620.52,26.1,2.83,-3.21,19.7,,5.11
SMSS~J000113.96-363337.9,4626.188,24.0,0.97,-1.32,29.4,,3.11
SMSS~J000113.96-363337.9,4630.12,26.0,2.28,-2.587,18.4,,5.11
SMSS~J000113.96-363337.9,4632.912,26.0,1.61,-2.913,44.3,,5.21
SMSS~J000113.96-363337.9,4636.32,22.1,1.16,-3.02,16.0,,2.93
SMSS~J000113.96-363337.9,4646.15,24.0,1.03,-0.74,51.6,,3.04
SMSS~J000113.96-363337.9,4648.659,28.0,3.42,-0.16,26.2,,3.93
SMSS~J000113.96-363337.9,4651.28,24.0,0.98,-1.46,21.7,,3.08
SMSS~J000113.96-363337.9,4652.158,24.0,1.0,-1.03,34.2,,2.95
SMSS~J000113.96-363337.9,4656.47,22.0,0.0,-1.289,29.6,,2.73
SMSS~J000113.96-363337.9,4657.2,22.1,1.24,-2.24,47.4,,2.94
SMSS~J000113.96-363337.9,4678.846,26.0,3.6,-0.83,29.4,,5.17
SMSS~J000113.96-363337.9,4681.91,22.0,0.05,-1.015,44.7,,2.81
SMSS~J000113.96-363337.9,4691.411,26.0,2.99,-1.52,36.3,,5.3
SMSS~J000113.96-363337.9,4702.99,12.0,4.33,-0.38,87.4,,5.52
SMSS~J000113.96-363337.9,4707.274,26.0,3.24,-1.08,42.0,,5.26
SMSS~J000113.96-363337.9,4708.662,22.1,1.24,-2.34,44.3,,2.98
SMSS~J000113.96-363337.9,4710.283,26.0,3.02,-1.61,32.8,,5.35
SMSS~J000113.96-363337.9,4714.421,28.0,3.38,0.23,41.2,,3.81
SMSS~J000113.96-363337.9,4722.15,30.0,4.03,-0.39,23.4,,2.42
SMSS~J000113.96-363337.9,4733.591,26.0,1.49,-2.988,50.0,,5.25
SMSS~J000113.96-363337.9,4736.772,26.0,3.21,-0.752,61.3,,5.29
SMSS~J000113.96-363337.9,4779.979,22.1,2.05,-1.37,47.8,,3.04
SMSS~J000113.96-363337.9,4786.806,26.0,3.0,-1.606,27.6,,5.21
SMSS~J000113.96-363337.9,4789.65,26.0,3.53,-0.957,21.6,,5.03
SMSS~J000113.96-363337.9,4798.532,22.1,1.08,-2.68,39.0,,3.03
SMSS~J000113.96-363337.9,4805.089,22.1,2.06,-1.1,60.2,,3.02
SMSS~J000113.96-363337.9,4810.528,30.0,4.08,-0.137,30.5,,2.4
SMSS~J000113.96-363337.9,4823.528,25.0,2.32,0.144,35.1,,2.62
SMSS~J000113.96-363337.9,4840.87,22.0,0.9,-0.453,19.3,,2.7
SMSS~J000113.96-363337.9,4855.414,28.0,3.54,0.0,22.3,,3.8
SMSS~J000113.96-363337.9,4859.741,26.0,2.88,-0.76,69.7,,5.07
SMSS~J000113.96-363337.9,4871.318,26.0,2.87,-0.362,94.3,,5.21
SMSS~J000113.96-363337.9,4872.137,26.0,2.88,-0.567,86.3,,5.26
SMSS~J000113.96-363337.9,4890.755,26.0,2.88,-0.394,86.6,,5.08
SMSS~J000113.96-363337.9,4891.492,26.0,2.85,-0.111,98.8,,5.03
