Name,Tel,Obs,Exp,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.s,HJD,RVel
BPS CS 22956-062,Magellan-Clay/MIKE,GWP,3600,2008,Sep,12,02,26,2454721.604,+187.9
BPS CS 22956-081,Magellan-Clay/MIKE,GWP,7200,2007,Aug,23,03,32,2454335.651,+244.4
BPS CS 22956-081,Magellan-Clay/MIKE,GWP,2900,2009,Sep,05,02,02,2455079.588,+244.9
BPS CS 22956-102,Magellan-Clay/MIKE,GWP,5400,2008,Sep,12,04,21,2454721.684,+14.4
BPS CS 22956-102,Magellan-Clay/MIKE,GWP,5300,2009,Sep,05,06,10,2455079.760,+22.4
BPS CS 22956-106,Magellan-Clay/MIKE,GWP,1800,2007,Aug,23,05,26,2454335.730,+205.8
BPS CS 22956-106,Magellan-Clay/MIKE,GWP,2000,2007,Aug,24,05,59,2454336.753,+208.1
BPS CS 22956-106,Magellan-Clay/MIKE,IBT,2400,2009,Oct,25,01,59,2455129.583,+207.4
BPS CS 22956-110,Magellan-Clay/MIKE,GWP,8000,2006,Aug,04,07,34,2453951.819,-86.1
BPS CS 22956-114,Magellan-Clay/MIKE,IUR,2800,2012,Aug,25,04,19,2456164.683,-37.5
BPS CS 22956-114,Magellan-Clay/MIKE,IUR,1200,2012,Aug,26,02,37,2456165.612,-37.6
BPS CS 22957-013,Magellan-Clay/MIKE,IUR,2800,2012,Aug,25,06,14,2456164.765,-214.4
BPS CS 22957-019,Magellan-Clay/MIKE,GWP,1770,2006,Aug,02,07,52,2453949.832,-33.1
BPS CS 22957-019,Magellan-Clay/MIKE,IBT,2400,2009,Oct,25,03,12,2455129.638,-33.3
BPS CS 22957-019,Magellan-Clay/MIKE,IBT,3400,2010,Sep,20,01,58,2455459.588,-32.7
BPS CS 22957-022,Magellan-Clay/MIKE,GWP,1200,2006,Aug,04,09,36,2453951.904,-31.6
BPS CS 22957-024,Magellan-Clay/MIKE,GWP,6300,2004,Aug,10,08,37,2453227.864,-67.9
BPS CS 22957-024,Magellan-Clay/MIKE,GWP,3000,2004,Aug,12,08,45,2453229.869,-67.0
BPS CS 22957-026,Magellan-Clay/MIKE,GWP,1200,2008,Sep,09,06,00,2454718.756,-19.0
