Name,Simbad_Identifier,RA_hms,DEC_dms,Tel,Obs,Exp,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.s,HJD,RVel
CS 22943-137,BPS CS 22943-0137,20:26:29.0087,-43:00:42.661,Magellan-Baade/MIKE,SAS,3600,2003,Jun,23,05,37,2452813.739,-30.3
CS 22943-137,BPS CS 22943-0137,20:26:29.0087,-43:00:42.661,Magellan-Clay/MIKE,IBT,1400,2009,May,15,10,10,2454966.926,-31.8
CS 22943-201,BPS CS 22943-0201,20:36:28.7984,-43:49:30.137,Magellan-Clay/MIKE,GWP,2200,2005,Aug,21,01,26,2453603.564,+37.2
CS 22943-201,BPS CS 22943-0201,20:36:28.7984,-43:49:30.137,Magellan-Clay/MIKE,IBT,5100,2006,Jun,12,05,54,2453898.750,+37.6
CS 22943-201,BPS CS 22943-0201,20:36:28.7984,-43:49:30.137,Magellan-Clay/MIKE,IBT,1500,2007,Aug,03,06,22,2454315.771,+35.4
CS 22943-201,BPS CS 22943-0201,20:36:28.7984,-43:49:30.137,Magellan-Clay/MIKE,IBT,1800,2007,Aug,04,04,04,2454316.675,+36.4
CS 22944-014,BPS CS 22944-0014,21:41:12.2003,-14:33:32.440,Magellan-Clay/MIKE,GWP,2100,2005,Aug,21,05,09,2453603.720,-381.2
CS 22944-032,BPS CS 22944-0032,21:47:43.2239,-13:40:22.958,Magellan-Clay/MIKE,GWP,4400,2004,Jun,30,09,51,2453186.915,+19.3
CS 22944-032,BPS CS 22944-0032,21:47:43.2239,-13:40:22.958,Magellan-Clay/MIKE,GWP,800,2007,Aug,22,03,12,2454334.639,+18.5
CS 22944-032,BPS CS 22944-0032,21:47:43.2239,-13:40:22.958,Magellan-Clay/MIKE,GWP,2000,2007,Aug,23,02,35,2454335.613,+19.1
CS 22944-061,BPS CS 22944-0061,21:50:18.4466,-13:45:23.988,Magellan-Clay/MIKE,GWP,3000,2006,Aug,05,05,51,2453952.749,+157.3
CS 22945-017,BPS CS 22945-0017,23:20:55.6277,-63:15:36.786,Magellan-Clay/MIKE,GWP,3400,2008,Sep,11,02,58,2454720.627,+101.8
CS 22945-024,BPS CS 22945-0024,23:36:42.4771,-65:35:43.821,Magellan-Clay/MIKE,GWP,5400,2007,Aug,21,06,25,2454333.771,+148.2
CS 22945-028,BPS CS 22945-0028,23:31:13.5632,-66:29:57.771,Magellan-Clay/MIKE,IUR,5200,2012,Aug,27,05,57,2456166.751,+389.0
CS 22945-031,BPS CS 22945-0031,23:47:31.9950,-67:30:35.920,Magellan-Clay/MIKE,GWP,4400,2005,Aug,25,06,12,2453607.761,+196.4
CS 22945-056,BPS CS 22945-0056,23:53:19.7853,-65:29:39.566,Magellan-Clay/MIKE,GWP,3200,2005,Aug,25,08,31,2453607.858,+222.5
CS 22945-058,BPS CS 22945-0058,23:52:37.7929,-66:05:01.669,Magellan-Clay/MIKE,GWP,5400,2008,Sep,11,04,28,2454720.689,+23.1
CS 22945-058,BPS CS 22945-0058,23:52:37.7929,-66:05:01.669,Magellan-Clay/MIKE,IBT,1550,2009,Jul,26,10,29,2455038.940,+23.7
CS 22945-063,BPS CS 22945-0063,00:02:36.9861,-65:45:21.217,Magellan-Clay/MIKE,SAS,5000,2010,Jul,26,08,36,2455403.861,+167.8
CS 22947-187,BPS CS 22947-0187,19:18:31.6265,-47:13:31.155,Magellan-Clay/MIKE,GWP,1200,2006,Aug,03,01,07,2453950.551,-251.2
CS 22948-066,HE 2141-3741,21:44:51.1647,-37:27:55.017,Magellan-Clay/MIKE,GWP,1500,2007,Aug,22,02,48,2454334.622,-171.2
CS 22948-066,HE 2141-3741,21:44:51.1647,-37:27:55.017,Magellan-Clay/MIKE,IBT,900,2009,May,15,10,32,2454966.940,-170.8
CS 22948-093,BPS CS 22948-0093,21:50:31.5180,-41:07:49.355,Magellan-Clay/MIKE,GWP,1400,2006,Aug,03,04,07,2453950.677,+367.9
CS 22948-093,BPS CS 22948-0093,21:50:31.5180,-41:07:49.355,Magellan-Clay/MIKE,GWP,6000,2006,Aug,04,03,10,2453951.637,+368.0
CS 22948-093,BPS CS 22948-0093,21:50:31.5180,-41:07:49.355,Magellan-Clay/MIKE,GWP,2000,2006,Aug,06,04,41,2453953.700,+366.0
CS 22948-093,BPS CS 22948-0093,21:50:31.5180,-41:07:49.355,Magellan-Clay/MIKE,IBT,900,2009,Oct,26,02,42,2455130.614,+360.4
CS 22949-008,BPS CS 22949-0008,23:16:58.7314,-03:20:52.625,Magellan-Clay/MIKE,IBT,1200,2007,Aug,04,06,07,2454316.760,-135.8
CS 22949-008,BPS CS 22949-0008,23:16:58.7314,-03:20:52.625,Magellan-Clay/MIKE,GWP,2700,2008,Sep,10,03,39,2454719.658,-151.2
CS 22949-008,BPS CS 22949-0008,23:16:58.7314,-03:20:52.625,Magellan-Clay/MIKE,IBT,1050,2009,Jul,25,07,39,2455037.823,-147.0
CS 22949-008,BPS CS 22949-0008,23:16:58.7314,-03:20:52.625,Magellan-Clay/MIKE,IBT,1200,2009,Jul,26,08,27,2455038.856,-147.2
CS 22949-030,BPS CS 22949-0030,23:21:22.9179,-03:45:54.723,Magellan-Clay/MIKE,GWP,2800,2008,Sep,12,05,38,2454721.741,-85.6
CS 22949-037,HE 2323-0256,23:26:29.8073,-02:39:58.036,Magellan-Clay/MIKE,GWP,5000,2006,Aug,06,08,32,2453953.860,-125.4
CS 22949-037,HE 2323-0256,23:26:29.8073,-02:39:58.036,Magellan-Clay/MIKE,IBT,1350,2009,Jul,25,08,04,2455037.840,-125.3
CS 22949-048,BPS CS 22949-0048,23:26:07.4169,-05:50:06.903,Magellan-Clay/MIKE,GWP,2600,2006,Aug,06,07,23,2453953.812,-160.8
CS 22950-046,BPS CS 22950-0046,20:21:28.3975,-13:16:33.601,Magellan-Clay/MIKE,GWP,4800,2006,Aug,06,03,44,2453953.661,+108.8
CS 22951-005,BPS CS 22951-0005,21:45:46.6532,-46:04:58.118,Magellan-Clay/MIKE,GWP,4300,2005,Aug,24,03,06,2453606.634,+232.2
CS 22951-005,BPS CS 22951-0005,21:45:46.6532,-46:04:58.118,Magellan-Clay/MIKE,GWP,3050,2005,Aug,25,01,53,2453607.583,+231.7
