Name,Ion,Species,l_logepsX,logepsX
G102-027,Y II,39.1,,1.62
G102-027,La II,57.1,,0.69
G102-027,Eu II,63.1,,0.4
G102-027,Pb I,82.0,,1.64
G113-022,Fe I,26.0,,-8.68
G113-022,Zn I,30.0,,3.64
G113-022,Y II,39.1,,1.38
G113-022,La II,57.1,,0.42
G113-022,Eu II,63.1,,-0.13
G113-022,Pb I,82.0,,1.19
G122-051,Fe I,26.0,,-8.93
G122-051,Zn I,30.0,,3.26
G122-051,Y II,39.1,,0.58
G122-051,La II,57.1,,-0.1
G122-051,Eu II,63.1,,-0.27
G122-051,Pb I,82.0,,0.34
G123-009,Fe I,26.0,,-8.75
G123-009,Zn I,30.0,,3.45
G123-009,Y II,39.1,,1.15
G123-009,La II,57.1,,0.21
G123-009,Eu II,63.1,,-0.21
G123-009,Pb I,82.0,,1.13
G126-036,Fe I,26.0,,-8.56
G126-036,Zn I,30.0,,3.76
G126-036,Y II,39.1,,1.59
G126-036,La II,57.1,,0.87
G126-036,Eu II,63.1,,0.04
G126-036,Pb I,82.0,,1.67
G126-062,Fe I,26.0,,-9.09
G126-062,Zn I,30.0,,2.86
G126-062,Y II,39.1,,0.36
G126-062,La II,57.1,,
G126-062,Eu II,63.1,,
G126-062,Pb I,82.0,<,1.55
G140-046,Fe I,26.0,,-8.8
G140-046,Zn I,30.0,,3.65
G140-046,Y II,39.1,,1.46
G140-046,La II,57.1,,0.54
G140-046,Eu II,63.1,,-0.41
G140-046,Pb I,82.0,,1.19
G153-021,Fe I,26.0,,-8.2
G153-021,Zn I,30.0,,4.06
G153-021,Y II,39.1,,1.46
G153-021,La II,57.1,,0.59
G153-021,Eu II,63.1,,0.34
G153-021,Pb I,82.0,<,1.65
G176-053,Fe I,26.0,,-8.84
G176-053,Zn I,30.0,,3.18
G176-053,Y II,39.1,,0.63
G176-053,La II,57.1,,-0.08
G176-053,Eu II,63.1,,-0.32
G176-053,Pb I,82.0,<,1.05
G179-022,Fe I,26.0,,-8.85
G179-022,Zn I,30.0,,3.34
G179-022,Y II,39.1,,0.79
G179-022,La II,57.1,,0.02
G179-022,Eu II,63.1,,-0.22
G179-022,Pb I,82.0,,0.39
G180-024,Fe I,26.0,,-8.84
G180-024,Zn I,30.0,,3.23
G180-024,Y II,39.1,,0.72
G180-024,La II,57.1,,-0.19
G180-024,Eu II,63.1,,-0.58
G180-024,Pb I,82.0,<,1.65
G188-022,Fe I,26.0,,-9.02
G188-022,Zn I,30.0,,3.24
G188-022,Y II,39.1,,0.94
G188-022,La II,57.1,,-0.12
G188-022,Eu II,63.1,,-0.6
G188-022,Pb I,82.0,<,1.3
G191-055,Fe I,26.0,,-9.13
G191-055,Zn I,30.0,,2.78
G191-055,Y II,39.1,,0.23
G191-055,La II,57.1,,-0.41
G191-055,Eu II,63.1,,-0.89
G191-055,Pb I,82.0,<,1.1
G192-043,Fe I,26.0,,-9.0
G192-043,Zn I,30.0,,3.12
G192-043,Y II,39.1,,0.71
G192-043,La II,57.1,,-0.02
G192-043,Eu II,63.1,,-0.25
G192-043,Pb I,82.0,<,1.6
G221-007,Fe I,26.0,,-8.48
G221-007,Zn I,30.0,,3.65
G221-007,Y II,39.1,,1.02
G221-007,La II,57.1,,0.28
G221-007,Eu II,63.1,,-0.11
G221-007,Pb I,82.0,,1.69
HD 101063,Fe I,26.0,,-8.83
HD 101063,Zn I,30.0,,3.3
HD 101063,Y II,39.1,,0.85
HD 101063,La II,57.1,,0.21
HD 101063,Eu II,63.1,,0.0
HD 101063,Pb I,82.0,<,1.1
