Name,I/O,Simbad_Identifier,Loc,System,Slit,Reference,Ref,Instrument,Ncap_key,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,logg,Teff,ulc,epsc,e_c,ll[Fe/H],[Fe/H],e_[Fe/H],ul[C/Fe],[C/Fe],e_[C/Fe],[C/Fe]c,ul[C/Fe]f,[C/Fe]f,e_[C/Fe]f,[Ba/H]
11_1_4673,1,[CSF2018] 11-1-4673,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:33.63,-33:49:10.10,14.890125,-33.819472,1.23,4546,,,,,-3.11,0.17,,-0.11,0.35,0.64,,0.53,,
11_1_4824,1,[CSF2018] 11-1-4824,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:30.49,-33:39:04.16,14.877042,-33.651156,1.09,4508,,,,,-2.66,0.24,,-0.97,0.47,0.75,,-0.22,,
11_1_5047,1,[CSF2018] 11-1-5047,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:26.68,-33:40:22.43,14.861167,-33.672897,1.49,4662,,,,,-3.23,0.2,,-0.01,0.35,0.36,,0.35,,
11_1_5437,1,[CSF2018] 11-1-5437,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,S,CEMP-s,00:59:19.87,-33:38:56.77,14.832792,-33.649103,1.12,4517,,,,-3.41,,,,,,,,,,
11_1_6192,1,[CSF2018] 11-1-6192,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:06.14,-33:44:11.39,14.775583,-33.736497,1.37,4552,,,,,-2.02,0.22,,-0.89,0.26,0.57,,-0.32,,
11_1_6267,1,[CSF2018] 11-1-6267,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:04.05,-33:40:31.48,14.766875,-33.675411,1.08,4503,,,,,-2.57,0.18,,-0.74,0.37,0.75,,0.01,,
11_1_6440,1,[CSF2018] 11-1-6440,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,S,CEMP-s,00:59:00.13,-33:38:50.96,14.750542,-33.647489,1.3,4579,,,,-3.04,,,,,,,,,,
11_1_6443,1,[CSF2018] 11-1-6443,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:00.28,-33:43:14.64,14.751167,-33.720733,1.03,4484,,,,,-2.45,0.17,,-0.72,0.34,0.77,,0.05,,
11_1_6533,1,[CSF2018] 11-1-6533,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:58:57.88,-33:41:50.34,14.741167,-33.697317,1.43,4635,,,,,-2.98,0.22,,0.09,0.44,0.48,,0.57,,
11_2_425,1,[CSF2018] 11-2-425,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:50.64,-33:58:07.10,14.961,-33.968639,1.6,4715,,,,,-3.15,0.22,,0.39,0.37,0.33,,0.72,,
11_2_661,1,[CSF2018] 11-2-661,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:25.63,-33:58:21.42,14.856792,-33.972617,1.18,4524,,,,,-3.10,0.16,,-0.05,0.31,0.68,,0.63,,
11_2_956,1,[CSF2018] 11-2-956,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:58:39.65,-33:55:34.76,14.665208,-33.926322,1.02,4477,,,,,-2.16,0.18,,-0.86,0.24,0.75,,-0.11,,
6_5_1035,1,[CSF2018] 6-5-1035,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:19.33,-33:37:11.74,15.080542,-33.619928,1.27,4564,,,,,-3.03,0.2,,-0.30,0.35,0.62,,0.32,,
6_5_1598,1,[CSF2018] 6-5-1598,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:59.09,-33:36:44.90,14.996208,-33.612472,1.09,4492,,,,,-2.92,0.16,,0.18,0.34,0.67,,0.85,,
6_5_163,1,[CSF2018] 6-5-163,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,Blueward_of_RGB,01:01:19.89,-33:35:57.44,15.332875,-33.599289,2.41,5055,,,,,-2.95,0.45,,0.84,0.48,0.01,,0.85,,
6_5_239,1,[CSF2018] 6-5-239,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:01:10.27,-33:38:37.81,15.292792,-33.643836,1.09,4505,,,,,-2.44,0.23,,-0.43,0.32,0.72,,0.29,,
6_5_420,1,[CSF2018] 6-5-420,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:51.64,-33:36:56.74,15.215167,-33.615761,2.5,4565,,,,,-0.61,0.46,,-0.40,0.40,0.03,,-0.37,,
6_5_505,1,[CSF2018] 6-5-505,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,S,CEMP-s,01:00:45.76,-33:38:34.83,15.190667,-33.643008,1.57,4706,,,,-3.33,,,,,,,,,,
6_5_678,1,[CSF2018] 6-5-678,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:34.10,-33:35:08.73,15.142083,-33.585758,1.38,4615,,,,,-2.74,0.24,,0.09,0.43,0.53,,0.62,,
6_5_736,1,[CSF2018] 6-5-736,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:31.87,-33:38:00.22,15.132792,-33.633394,1.23,4547,,,,,-3.03,0.18,,-0.07,0.38,0.63,,0.56,,
6_5_948,1,[CSF2018] 6-5-948,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:22.37,-33:38:07.79,15.093208,-33.635497,1.39,4633,,,,,-2.50,0.27,,-0.18,0.35,0.57,,0.39,,
7_3_243,1,[CSF2018] 7-3-243,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:50.78,-33:31:47.06,14.961583,-33.529739,1.25,4491,,,,,-1.48,0.27,,-1.32,0.32,0.66,,-0.66,,
7_4_1514,1,[CSF2018] 7-4-1514,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:54.47,-33:37:53.50,14.976958,-33.631528,1.23,4479,,,,,-1.45,0.26,,-1.14,0.27,0.64,,-0.50,,
7_4_2408,1,[CSF2018] 7-4-2408,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:30.43,-33:36:05.23,14.876792,-33.601453,1.07,4500,,,,,-2.68,0.16,,-0.72,0.35,0.75,,0.03,,
7_4_2750,1,[CSF2018] 7-4-2750,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:17.20,-33:38:06.68,14.821667,-33.635189,1.36,4606,,,,,-3.05,0.2,,-0.34,0.42,0.55,,0.21,,
7_4_3182,1,[CSF2018] 7-4-3182,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:58:49.80,-33:37:19.10,14.7075,-33.621972,1.61,4719,,,,,-3.05,0.26,,0.07,0.37,0.3,,0.37,,
7_4_3266,1,[CSF2018] 7-4-3266,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:58:38.77,-33:35:02.28,14.661542,-33.583967,0.98,4461,,,,,-2.40,0.15,,-1.07,0.33,0.79,,-0.28,,
10_7_442,0,[CSF2018] 10-7-442,DW,Sculptor,1.0,Chiti+2018a,CHI18a,MagE,,RGB,01:00:50.35,-33:52:15.67,15.209808333333333,-33.87101944444444,1.61,4752,,5.55,0.30,,-3.33,0.22,,0.45,0.20,0.29,,0.74,0.20,
10_7_486,0,[CSF2018] 10-7-486,DW,Sculptor,0.7,Chiti+2018a,CHI18a,MagE,,CEMP-s,01:00:45.42,-33:52:14.68,15.189229166666667,-33.87074444444445,1.05,4523,,7.84,0.15,-2.64,,,,,,,,,,0.36
