Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Imag,Date,Obs,S/N
J131013.0-334236,CD-33  8865,,,13:10:13.0476,-33:42:36.933,197.554,-33.71,9.7,20090214,ESO,130
J131951.5-144755,TYC 5550-1314-1,,,13:19:51.5646,-14:47:55.657,199.965,-14.799,10.0,20070506,LCO,140
J132157.2-241639,TYC 6700-806-1,,,13:21:57.2369,-24:16:39.403,200.488,-24.278,9.8,20090217,ESO,170
J132302.8-174949,TYC 6124-8-1,,,13:23:02.8582,-17:49:49.785,200.762,-17.83,10.8,20070506,LCO,130
J132414.3-180620,TYC 6124-458-1,,,13:24:14.2972,-18:06:21.245,201.06,-18.106,10.5,20080611,APO,190
J132604.5-152502,UCAC4 373-066758,,,13:26:04.5123,-15:25:01.988,201.519,-15.417,10.3,20070622,AAT,190
J132635.5-280343,CD-27  9226,,,13:26:35.5429,-28:03:44.142,201.648,-28.062,9.2,20090214,ESO,120
J133403.6-122545,TYC 5548-1310-1,,,13:34:03.6047,-12:25:45.269,203.515,-12.429,10.1,20080327,APO,180
J134340.7-112620,BD-10  3742,,,13:43:40.6910,-11:26:20.555,205.919,-11.439,9.2,20090215,ESO,150
J135125.0-470627,TYC 8266-2549-1,,,13:51:25.0237,-47:06:26.956,207.854,-47.108,9.1,20090215,ESO,150
J140206.8-135654,TYC 5560-874-1,,,14:02:06.8642,-13:56:54.514,210.529,-13.948,10.5,20070506,LCO,150
J140722.5-295446,CD-29 10832,,,14:07:22.5174,-29:54:46.565,211.844,-29.913,9.7,20090215,ESO,130
J140741.7-175143,TYC 6141-547-1,,,14:07:41.7242,-17:51:43.569,211.924,-17.862,10.1,20090218,ESO,160
J140908.9-281336,TYC 6742-572-1,,,14:09:08.9449,-28:13:36.886,212.287,-28.227,10.8,20070506,LCO,140
J141231.4-050201,TYC 4982-898-1,,,14:12:31.4376,-05:02:01.823,213.131,-5.034,10.6,20070623,AAT,120
J141810.5-333452,TYC 7286-486-1,,,14:18:10.5759,-33:34:52.669,214.544,-33.581,10.1,20070624,AAT,140
J141832.4-081824,TYC 5562-446-1,,,14:18:32.4326,-08:18:24.913,214.635,-8.307,9.8,20090217,ESO,150
J142522.3-114202,UCAC2  27674303,,,14:25:22.3573,-11:42:03.593,216.343,-11.701,10.0,20070506,LCO,150
J142546.2-154629,BD-15  3868,,,14:25:46.2797,-15:46:30.168,216.443,-15.775,9.8,20090212,ESO,130
J142839.0-204459,BD-20  4035,,,14:28:39.0778,-20:44:59.428,217.163,-20.75,9.7,20090213,ESO,170
J142911.4-053131,TYC 4983-448-1,,,14:29:11.4577,-05:31:31.229,217.298,-5.525,10.7,20070506,LCO,170
J144548.8-165433,UCAC2  25546322,,,14:45:48.7720,-16:54:33.328,221.453,-16.909,10.9,20080317,APO,100
J144603.1-011132,TYC 4986-481-1,,,14:46:03.1443,-01:11:32.956,221.513,-1.192,10.0,20090212,ESO,160
J144614.2-123902,TYC 5573-793-1,,,14:46:14.1817,-12:39:02.230,221.559,-12.651,10.5,20070506,LCO,130
J144747.0-143827,TYC 5577-268-1,,,14:47:46.9919,-14:38:27.486,221.946,-14.641,11.1,20090216,ESO,130
J145446.0-251541,TYC 6751-684-1,,,14:54:46.0668,-25:15:41.832,223.692,-25.262,10.2,20080317,APO,110
J145446.0-251541,TYC 6751-684-1,,,14:54:46.0668,-25:15:41.832,223.692,-25.262,10.2,20070622,APO,130
J150031.0-122656,BD-11  3853,,,15:00:30.9385,-12:26:56.702,225.129,-12.449,9.7,20080228,APO,170
J150212.0-093319,TYC 5583-632-1,,,15:02:11.9840,-09:33:19.429,225.55,-9.555,10.6,20070623,AAT,160
J150223.7-194824,TYC 6176-821-1,,,15:02:23.7248,-19:48:24.434,225.599,-19.807,10.0,20090218,ESO,140
J150436.8-123108,TYC 5588-1160-1,,,15:04:36.7980,-12:31:08.718,226.153,-12.519,9.3,20090213,ESO,130
J150505.2-035039,BD-03  3720,,,15:05:05.2819,-03:50:39.444,226.272,-3.844,9.1,20080611,APO,120
J150628.6-142803,TYC 5592-563-1,,,15:06:28.6610,-14:28:03.952,226.62,-14.468,10.5,20070505,LCO,130
J150740.0-212242,HD 133929,,,15:07:40.0059,-21:22:42.387,226.917,-21.379,9.3,20080327,APO,130
J150824.0-125620,TYC 5588-906-1,,,15:08:24.0718,-12:56:21.002,227.1,-12.939,10.4,20070506,LCO,160
J151446.1-062842,TYC 5013-689-1,,,15:14:46.1715,-06:28:43.029,228.692,-6.479,9.6,20090217,ESO,180
J152033.7-094304,HD 136343,,,15:20:33.7166,-09:43:04.622,230.14,-9.718,9.2,20080419,APO,170
J152141.1-155317,TYC 6171-103-1,,,15:21:41.0836,-15:53:18.189,230.421,-15.888,10.3,20070506,LCO,130
J152423.2-092207,TYC 5594-4-1,,,15:24:23.2707,-09:22:07.771,231.097,-9.369,10.4,20070506,LCO,100
J155803.8-061632,TYC 5031-596-1,,,15:58:03.8183,-06:16:32.443,239.516,-6.276,10.2,20070506,LCO,160
J160433.6-123549,TYC 5619-378-1,,,16:04:33.6116,-12:35:49.418,241.14,-12.597,10.4,20070623,AAT,150
J161527.2-141858,UCAC4 379-073854,,,16:15:27.1832,-14:18:58.474,243.863,-14.316,10.4,20070506,LCO,100
J161637.1-143139,TYC 5625-1083-1,,,16:16:37.1955,-14:31:39.504,244.155,-14.528,10.7,20070506,LCO,120
J162128.4-114017,TYC 5634-965-1,,,16:21:28.4748,-11:40:17.590,245.369,-11.671,10.4,20070622,AAT,120
J162230.6-062843,TYC 5047-684-1,,,16:22:30.6323,-06:28:43.778,245.628,-6.479,10.7,20070506,LCO,100
J162849.6-033521,TYC 5039-934-1,,,16:28:49.5978,-03:35:21.426,247.207,-3.589,10.2,20080419,APO,180
J165253.6-011557,TYC 5051-303-1,,,16:52:53.6601,-01:15:57.106,253.224,-1.266,10.6,20080327,APO,120
J174311.3-804846,CD-80   645,,,17:43:11.3640,-80:48:46.686,265.798,-80.813,9.0,20070921,AAT,110
J180811.5-802007,TYC 9453-883-1,,,18:08:11.5130,-80:20:07.905,272.048,-80.336,10.1,2007combo,APO,150
J185443.3-822504,CPD-82   743,,,18:54:43.6432,-82:25:04.917,283.68,-82.418,10.2,20070920,AAT,120
J185501.5-675744,TYC 9292-407-1,,,18:55:01.5484,-67:57:44.985,283.756,-67.963,9.1,20080909,AAT,180
J190708.1-635829,TYC 9078-1407-1,,,19:07:08.1824,-63:58:29.423,286.784,-63.975,10.4,20070506,LCO,150
J191144.7-600208,Cl* NGC 6752   BUON     277,,,19:11:44.7240,-60:02:08.678,287.936,-60.036,10.3,20080909,AAT,160
J191258.2-790347,HD 176772,,,19:12:58.2986,-79:03:48.260,288.243,-79.063,9.0,20080908,AAT,130
J191618.2-554445,TYC 8764-1992-1,,,19:16:18.2201,-55:44:45.396,289.076,-55.746,10.2,20080908,AAT,150
J192145.9-712436,GSC 09313-01255,,,19:21:45.9288,-71:24:36.339,290.441,-71.41,10.5,20070623,AAT,130
J192334.3-834540,HD 177248,,,19:23:34.3795,-83:45:40.861,290.893,-83.761,9.4,20080912,AAT,170
J192406.6-693706,TYC 9309-104-1,,,19:24:06.6276,-69:37:06.258,291.028,-69.618,10.5,20070506,LCO,100
J192916.9-511613,TYC 8388-291-1,,,19:29:16.9853,-51:16:13.393,292.321,-51.27,9.4,20080910,AAT,160
J193338.2-595902,TYC 8786-651-1,,,19:33:38.2171,-59:59:03.016,293.409,-59.984,10.4,20070505,LCO,110
J193357.0-582141,CD-58  7468,,,19:33:57.0750,-58:21:41.809,293.488,-58.362,9.5,20080910,AAT,150
J193443.1-462130,HD 184051,,,19:34:43.1359,-46:21:30.767,293.68,-46.358,9.2,20080913,AAT,120
J194550.6-392630,UCAC4 253-187742,,,19:45:50.6061,-39:26:30.951,296.461,-39.442,11.7,20081016,LCO,180
J194552.6-504608,TYC 8402-1310-1,,,19:45:52.7001,-50:46:08.003,296.47,-50.769,10.4,20081016,LCO,160
J194811.5-483511,2MASS J19481153-4835119,,,19:48:11.5387,-48:35:11.907,297.048,-48.587,9.3,20070920,AAT,190
J194850.3-344917,TYC 7447-837-1,,,19:48:50.3599,-34:49:17.913,297.21,-34.822,10.4,20070506,LCO,100
J194952.7-641309,UCAC4 129-169072,,,19:49:52.7057,-64:13:10.289,297.47,-64.22,11.1,20081015,LCO,190
J195221.4-695417,TYC 9310-1018-1,,,19:52:21.4601,-69:54:17.599,298.089,-69.905,10.6,20070623,AAT,130
J195244.9-600813,TYC 9085-934-1,,,19:52:44.9054,-60:08:13.119,298.187,-60.137,10.1,20081016,LCO,160
J195313.7-531456,TYC 8775-943-1,,,19:53:13.8051,-53:14:56.339,298.307,-53.249,11.0,20070506,LCO,130
J195716.7-335026,TYC 7448-58-1,,,19:57:16.7617,-33:50:27.020,299.32,-33.841,10.5,20081016,LCO,160
J200150.5-310651,UCAC2  18796689,,,20:01:50.5724,-31:06:51.290,300.461,-31.114,10.7,20081015,LCO,140
J200420.2-270110,TYC 6900-414-1,,,20:04:20.3226,-27:01:10.543,301.085,-27.02,10.1,20070506,LCO,120
J200728.5-495434,TYC 8400-122-1,,,20:07:28.5606,-49:54:34.176,301.869,-49.909,10.1,20070506,LCO,100
J201031.9-355854,TYC 7453-1122-1,,,20:10:31.9337,-35:58:54.580,302.633,-35.982,10.5,20081015,LCO,150
J201721.9-380126,TYC 7948-1882-1,,,20:17:21.9607,-38:01:26.683,304.341,-38.024,10.1,20070506,LCO,120
J201925.1-282207,UCAC4 309-258175,,,20:19:25.1854,-28:22:07.416,304.855,-28.369,10.5,20081015,LCO,180
J202319.0-661217,TYC 9099-871-1,,,20:23:19.0645,-66:12:17.953,305.829,-66.205,11.2,20081015,LCO,140
J202400.5-182024,TYC 6333-2002-1,,,20:24:00.5157,-18:20:24.268,306.002,-18.34,9.4,20080910,AAT,170
J203717.9-353513,TYC 7464-285-1,,,20:37:17.9435,-35:35:13.972,309.325,-35.587,9.3,20081016,LCO,180
J204406.2-300007,CD-30 18140,,,20:44:06.2873,-30:00:07.597,311.026,-30.002,9.5,20080908,AAT,200
J204547.1-621403,UCAC2   4452544,,,20:45:47.1327,-62:14:03.332,311.446,-62.234,10.6,20081016,LCO,190
J204923.3-362238,CD-36 14418,,,20:49:23.4089,-36:22:38.956,312.348,-36.377,9.6,20081015,LCO,200
J205058.6-315839,CD-32 16238,,,20:50:58.6398,-31:58:39.649,312.744,-31.978,9.9,20081016,LCO,190
J205155.4-325126,UCAC2  18078006,,,20:51:55.4538,-32:51:26.679,312.981,-32.857,10.6,20070623,AAT,160
J205319.4-244456,UCAC2  21897294,,,20:53:19.4455,-24:44:56.924,313.331,-24.749,10.7,20070506,LCO,100
J205440.3-053500,TYC 5187-193-1,,,20:54:40.3213,-05:35:01.292,313.668,-5.584,10.2,20081015,LCO,200
J205515.5-403414,HD 198954,,,20:55:15.5564,-40:34:14.047,313.815,-40.571,9.0,20080908,AAT,250
J210038.2-053916,TYC 5204-805-1,,,21:00:38.2460,-05:39:17.123,315.159,-5.655,9.9,20081015,LCO,210
J210634.7-495749,HD 200654,,,21:06:34.7513,-49:57:50.280,316.645,-49.964,9.2,20080908,AAT,160
