Name,Species,lambda,chi,loggf,l_EW,EW,l_logepsX,logepsX
BooI-127,Fe II,5197.580,3.23,-2.220,,78.1,,5.59
BooI-127,Fe II,5234.630,3.22,-2.180,,80.6,,5.58
BooI-127,Fe II,5276.000,3.20,-2.010,,93.8,,5.62
BooI-127,Fe II,5284.080,2.89,-3.190,,33.9,,5.39
BooI-127,Fe II,5534.834,3.25,-2.930,,40.5,,5.67
BooI-127,Fe II,6247.545,3.89,-2.510,,25.7,,5.68
BooI-127,Fe II,6432.680,2.89,-3.710,,20.0,,5.56
BooI-127,Fe II,6456.383,3.90,-2.080,,34.4,,5.44
BooI-127,Co I,3845.468,0.92,0.010,,,,
BooI-127,Co I,3873.120,0.43,-0.660,,,,
BooI-127,Co I,3995.306,0.92,-0.220,,117.0,,2.89
BooI-127,Co I,4110.532,1.05,-1.080,,64.8,,2.82
BooI-127,Co I,4118.767,1.05,-0.490,,109.8,,3.12
BooI-127,Co I,4121.318,0.92,-0.320,,104.9,,2.68
BooI-127,Ni I,3423.700,0.21,-0.790,,162.3,,3.71
BooI-127,Ni I,3483.770,0.28,-1.120,,,,
BooI-127,Ni I,3524.540,0.03,0.007,,,,
BooI-127,Ni I,3597.710,0.21,-1.115,,394.2,,5.25
BooI-127,Ni I,3783.520,0.42,-1.420,,,,
BooI-127,Ni I,3858.301,0.42,-0.951,,125.3,,3.12
BooI-127,Ni I,4648.659,3.42,-0.160,,32.6,,3.99
BooI-127,Ni I,4714.421,3.38,0.230,,66.2,,4.14
BooI-127,Ni I,4980.161,3.61,-0.110,,53.2,,4.51
BooI-127,Ni I,5035.374,3.63,0.290,,45.3,,4.00
BooI-127,Ni I,5080.523,3.65,0.130,,35.1,,4.00
BooI-127,Ni I,5084.080,3.68,0.030,,25.9,,3.95
BooI-127,Ni I,5137.075,1.68,-1.990,,88.6,,4.63
BooI-127,Ni I,5155.760,3.90,-0.090,,23.1,,4.26
BooI-127,Ni I,5476.900,1.83,-0.890,,120.4,,4.25
BooI-127,Ni I,6108.121,1.68,-2.450,,25.4,,3.97
BooI-127,Ni I,6643.640,1.68,-2.300,,64.0,,4.43
BooI-127,Ni I,6767.770,1.83,-2.170,,39.3,,4.10
BooI-127,Zn I,4810.528,4.08,-0.137,<,40.0,<,2.52
BooI-127,Sr II,4077.714,0.00,0.150,,,,
BooI-127,Sr II,4215.524,0.00,-0.180,,syn,,-0.32
BooI-127,Ba II,4554.033,HFS,,,syn,,-0.51
BooI-127,Ba II,4934.086,HFS,,,syn,,-0.61
BooI-127,Ba II,6496.896,HFS,,,syn,,-0.48
