JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7432,1.0,ROE10,Roederer+2010,BD+05 3640,BD+05 3640,,,,MP,,,,,18:12:21.89,+05:24:04.32,273.0912,5.4012,,,,,,,,,,,,,-1.3,,,,,,,,,,,,,,,,,,,,,6.2,,,,3.65,,,,,,,1.46,,,,,,,,,,,,0.54,,,,,-0.41,,,,,,,,,,,,,,,,1.19,,,,,,,,,,Mardini
7433,1.0,ROE10,Roederer+2010,BD-06 4346,BD-06 4346,,,,SUN,,,,,16:03:00.17,-06:27:11.16,240.7507,-6.4531,,,,,,,,,,,,,-0.7,,,,,,,,,,,,,,,,,,,,,6.8,,,,4.06,,,,,,,1.46,,,,,,,,,,,,0.59,,,,,0.34,,,,,,,,,,,,,,,,1.65,,,,,,,,,,Mardini
7434,1.0,ROE10,Roederer+2010,BD+51 1696,BD+51 1696,,,,MP,,,,,11:46:35.16,+50:52:54.84,176.6465,50.8819,,,,,,,,,,,,,-1.34,,,,,,,,,,,,,,,,,,,,,6.16,,,,3.18,,,,,,,0.63,,,,,,,,,,,,-0.08,,,,,-0.32,,,,,,,,,,,,,,,,1.05,,,,,,,,,,Mardini
7435,1.0,ROE10,Roederer+2010,BD+33 2560,BD+33 2560,,,,MP,,,,,15:14:26.18,+33:00:38.16,228.6091,33.0106,,,,,,,,,,,,,-1.35,,,,,,,,,,,,,,,,,,,,,6.15,,,,3.34,,,,,,,0.79,,,,,,,,,,,,0.02,,,,,-0.22,,,,,,,,,,,,,,,,0.39,,,,,,,,,,Mardini
7436,1.0,ROE10,Roederer+2010,BD+42 2667,BD+42 2667,,,,MP,,,,,16:03:13.30,+42:14:46.68,240.8054,42.2463,,,,,,,,,,,,,-1.34,,,,,,,,,,,,,,,,,,,,,6.16,,,,3.23,,,,,,,0.72,,,,,,,,,,,,-0.19,,,,,-0.58,,,,,,,,,,,,,,,,1.65,,,,,,,,,,Mardini
7437,1.0,ROE10,Roederer+2010,BD+26 4251,BD+26 4251,,,,MP,,,,,21:43:57.12,+27:23:24.00,325.988,27.39,,,,,,,,,,,,,-1.52,,,,,,,,,,,,,,,,,,,,,5.98,,,,3.24,,,,,,,0.94,,,,,,,,,,,,-0.12,,,,,-0.6,,,,,,,,,,,,,,,,1.3,,,,,,,,,,Mardini
7438,1.0,ROE10,Roederer+2010,BD+58 876,BD+58 876,,,,MP,,,,,05:57:28.58,+58:40:48.72,89.3691,58.6802,,,,,,,,,,,,,-1.63,,,,,,,,,,,,,,,,,,,,,5.87,,,,2.78,,,,,,,0.23,,,,,,,,,,,,-0.41,,,,,-0.89,,,,,,,,,,,,,,,,1.1,,,,,,,,,,Mardini
7439,2.0,ROE10,Roederer+2010,G 192-43,G 192-43,,,,MP,,,,,06:47:44.93,+58:38:34.44,101.9372,58.6429,,,,,,,,,,,,,-1.5,,,,,,,,,,,,,,,,,,,,,6,,,,3.12,,,,,,,0.71,,,,,,,,,,,,-0.02,,,,,-0.25,,,,,,,,,,,,,,,,1.6,,,,,,,,,,Mardini
7440,1.0,ROE10,Roederer+2010,HD 20039,HD 20039,,,,SUN,,,,,03:18:38.50,+72:16:30.36,49.6604,72.2751,,,,,,,,,,,,,-0.98,,,,,,,,,,,,,,,,,,,,,6.52,,,,3.65,,,,,,,1.02,,,,,,,,,,,,0.28,,,,,-0.11,,,,,,,,,,,,,,,,1.69,,,,,,,,,,Mardini
7441,1.0,ROE10,Roederer+2010,HD 2665,HD 2665,,,,MP,,,,,00:30:45.46,+57:03:53.64,7.6894,57.0649,,,,,,,,,,,,,-1.99,,,,,,,,,,,,,,,,,,,,,5.51,,,,2.49,,,,,,,-0.42,,,,,,,,,,,,-0.92,,,,,-1.15,,,,,,,,,,,,,,,,0.3,,,,,,,,,,Mardini
