JINA_ID,I/O,Ref,Reference,Name,Simbad_Identifier,ulLi,ulBe,ulC,ulN,ulO,ulF,ulNa,ulMg,ulAl,ulSi,ulP,ulS,ulK,ulCa,ulSc,ulTi,ulV,ulCr,ulMn,ulFe,ulCo,ulNi,ulCu,ulZn,ulGa,ulGe,ulAs,ulSe,ulRb,ulSr,ulY,ulZr,ulNb,ulMo,ulRu,ulRh,ulPd,ulAg,ulCd,ulSn,ulTe,ulBa,ulLa,ulCe,ulPr,ulNd,ulSm,ulEu,ulGd,ulTb,ulDy,ulHo,ulEr,ulTm,ulYb,ulLu,ulHf,ulW,ulOs,ulIr,ulPt,ulAu,ulHg,ulPb,ulBi,ulTh,ulU,ulCaII,ulTiII,ulVII,ulCrII,ulMnII,ulFeII
1162,1,FUL00,Fulbright+2000,HIP10140,BD+29_366,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1163,0,BUR00,Burris+2000,BD+302611,BD+30_2611,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1164,1,FUL00,Fulbright+2000,HIP73960,BD+30_2611,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1165,1,FUL00,Fulbright+2000,HIP63970,BD+33_2300,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1166,1,FUL00,Fulbright+2000,HIP115610,BD+33_4707,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1167,1,ISH10,Ishigaki+2010,BD+342476,BD+34_2476,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1168,0,MEL10,Meléndez+2010,BD+342476,BD+34_2476,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1169,1,FUL00,Fulbright+2000,HIP29759,BD+37_1458,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1170,0,LAI07,Lai+2007,G101-29,BD+37_1458,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1171,0,RIC09,Rich+2009,BD+371458,BD+37_1458,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
