Species,lambda,chi,loggf,BM-235,HE0033-2141,HE0050-0918,HE1210-2729,HE2234-4757,BM-028,BM-209,BM-308,HE0012-5643,HE0017-3646,HE0048-1109,HE0324-0122,BM-056,BM-121,HE0007-1752,HE0039-0216,HE0429-4620,HE1401-0010,HE2138-0314,HE2315-4306,HE2319-5228,HE2322-6125
Fe I,3774.82,2.22,0.00,,,,,,,,,,,,,,,42.9,,,,,,,
Fe I,3760.53,2.22,0.00,113.2,,96.2,,60.4,,,,,,18.3,,83.5,,,,45.8,,,,,
Fe I,3765.54,3.23,0.49,,,,,,,,,,,,,,,,,,,,81.2,,
Fe I,4383.54,1.48,0.21,,,,,,,,,79.2,,107.4,,,,,100.7,,95.8,123.1,,,
Fe I,3763.79,0.99,0.00,,,,,,,,,,,,,,,,95.1,,,,,,
Fe I,4375.93,0.00,0.00,,89.5,,109.5,132.4,102.4,,,8.6,87.0,30.5,,,,87.8,,80.4,15.5,65.4,91.4,,91.4
Fe II,5234.63,3.22,0.00,86.0,31.8,93.2,37.6,41.4,87.7,27.6,62.1,,49.2,9.8,40.6,63.3,66.3,29.4,,26.9,,,,11.5,37.0
Fe II,5276.00,3.20,0.00,,31.5,,40.5,48.6,104.9,42.3,73.7,,46.6,20.2,39.2,,80.6,39.4,,,,,45.7,21.3,37.1
Fe II,5316.62,3.15,0.00,,46.3,,,80.8,,56.3,,,84.8,29.9,56.7,,,50.4,17.7,46.2,21.0,27.1,,,51.6
Fe II,5414.07,3.22,0.00,15.8,,29.2,,,8.5,,8.0,,,,,,6.5,,,,,,,,
Fe II,5534.83,3.24,0.00,54.9,,61.8,13.8,20.6,37.6,11.2,34.1,,24.5,,13.7,31.9,31.5,12.1,,10.4,,3.7,,,
Fe II,6432.68,2.89,0.00,32.9,,35.7,,6.2,19.8,6.2,19.8,,10.7,,,17.7,,4.7,,,,,,,
Fe II,5169.03,2.89,0.00,,,,,,,,,36.9,,70.2,,,,,61.9,,59.5,101.5,,,
Fe II,5284.08,2.89,0.00,59.5,12.2,63.4,,16.7,41.2,12.4,30.7,,,,,36.3,32.4,10.0,,,,,,,
Fe II,6456.38,3.90,0.00,54.8,,63.7,17.3,13.2,,,31.3,,,,,29.5,,14.2,,,,,,,
Fe II,5264.81,3.23,0.00,32.9,,44.2,,,18.8,,21.3,,,,,23.5,21.1,,,,,,,,
Fe II,5197.58,3.23,0.00,81.3,19.9,92.0,32.6,39.7,80.9,28.7,58.1,,30.4,12.9,27.3,60.1,58.9,27.5,,,,11.8,,,25.8
Fe II,5325.55,3.22,0.00,31.7,,41.2,,,20.9,,12.5,,,,,17.1,15.5,,,,,,7.7,,
Fe II,6247.54,3.89,0.00,33.3,,45.5,,7.4,31.1,5.9,17.8,,9.3,,,20.1,,7.9,,,,,,,
Fe II,4491.41,2.86,0.00,74.6,16.1,76.9,22.5,28.7,64.2,18.3,49.4,,33.1,12.8,21.4,50.5,44.8,19.6,,,,7.2,23.9,,20.7
Fe II,4520.22,2.81,0.00,83.2,24.4,93.0,34.6,41.0,86.6,31.9,63.7,,38.3,8.4,24.5,63.9,66.4,22.2,5.1,23.3,,14.9,33.1,,25.0
Fe II,4122.67,2.58,0.00,,,,,,55.2,,,,30.1,,,,,,,,,,,,
Fe II,4731.44,2.89,0.00,65.4,,67.2,14.8,20.5,37.7,15.3,35.7,,25.7,,12.4,38.0,33.3,11.4,,,,,,,
Fe II,5018.45,2.89,0.00,,,,106.3,117.2,,91.7,132.9,45.2,,59.0,,129.2,,87.1,61.9,,,60.7,,67.8,
Fe II,4541.52,2.86,0.00,61.2,9.3,,16.1,23.3,49.6,,41.3,,20.2,6.0,,41.5,,13.8,,,,,,,
Fe II,4576.34,2.84,0.00,60.4,16.2,70.8,15.2,25.0,52.2,,41.4,,19.6,3.3,19.7,42.7,43.1,9.1,,,,,,,
Fe II,4993.35,2.81,0.00,29.0,,,,,,,16.8,,,,,16.8,13.1,,,,,,,,
Fe II,4582.84,2.84,0.00,50.6,,58.3,,17.2,36.0,,29.1,,16.2,,,33.0,31.7,8.7,,,,4.1,12.0,,
Fe II,4178.86,2.58,0.00,102.1,33.4,,52.6,55.1,108.0,,71.4,5.0,58.8,17.1,35.2,73.0,76.6,37.7,12.6,36.2,,,58.8,,36.5
Fe II,4923.93,2.89,0.00,143.3,76.4,151.7,103.2,104.5,,,115.4,26.5,117.9,57.0,,115.5,,79.5,41.8,79.9,42.9,56.4,98.0,62.5,
Fe II,4522.63,2.84,0.00,,,,60.1,73.1,127.4,,,6.9,73.2,22.5,,,,55.0,,37.9,17.1,26.3,,38.5,51.7
Fe II,4128.75,2.58,0.00,41.0,,45.7,10.7,15.6,27.9,,22.3,,,,,,,11.6,,,,,,,
Fe II,4515.34,2.84,0.00,90.7,20.8,90.8,36.2,42.6,87.0,30.4,62.6,,46.6,11.5,30.4,63.5,64.4,27.9,8.5,23.3,11.7,12.9,27.7,9.5,24.0
Fe II,4583.84,2.81,0.00,129.8,56.0,,76.1,84.1,,61.8,,14.8,88.6,35.0,66.8,95.5,,60.9,25.8,58.0,27.1,33.8,75.7,37.4,66.7
Fe II,4555.89,2.83,0.00,102.0,,,49.1,52.0,110.0,42.9,75.8,,57.6,13.2,39.4,68.0,75.7,35.6,6.9,,5.6,,50.3,14.5,33.5
Fe II,4620.52,2.83,0.00,49.5,7.8,50.3,12.2,8.7,25.7,13.7,28.4,,11.7,,8.5,26.1,24.5,7.2,,,,2.8,,,
Fe II,4508.28,2.86,0.00,90.9,29.3,95.3,42.9,50.7,99.4,40.2,67.7,5.1,,18.0,39.3,71.2,73.7,34.5,9.6,33.1,8.1,16.1,35.6,13.8,33.9
Fe II,4489.19,2.83,0.00,85.8,,78.1,21.4,,59.2,,47.5,,21.5,7.2,16.5,49.4,45.0,16.0,,12.6,,,,6.7,
Fe II,4233.17,2.58,0.00,131.4,65.0,,85.4,96.6,,73.7,,12.1,92.8,39.3,69.7,104.5,,66.6,26.3,66.6,29.4,43.3,,,56.3
Fe II,4416.82,2.78,0.00,91.2,22.3,,37.6,32.5,86.0,34.7,65.1,,45.2,12.6,,65.3,69.4,31.5,,31.0,,6.6,,,32.3
Ni I,4604.99,3.48,0.00,46.4,,39.2,,,15.3,12.8,16.5,,,,8.8,23.4,17.2,,,,,,,,13.4
Ni I,5035.36,3.63,0.29,64.0,,52.3,24.3,15.7,26.6,20.1,33.0,,12.6,,,38.4,,7.0,,,,,,,13.5
Ni I,3566.37,0.42,0.00,,105.5,,,,,,,45.8,,78.6,,,,100.8,,,,,125.0,,
Ni I,4714.42,3.38,0.25,88.5,,83.0,28.3,23.5,33.5,28.7,47.7,,18.5,7.8,28.6,55.0,59.0,13.5,,35.2,,13.9,35.0,12.2,21.0
Ni I,4686.21,3.59,0.00,21.7,,19.2,,,,3.9,9.3,,,,,9.6,5.5,,,,,,,,
Ni I,5017.58,3.54,0.00,51.3,,,14.4,,,,17.6,,,,,31.2,,,,,,5.2,,,
Ni I,5476.90,1.82,0.00,135.5,,117.2,69.5,71.0,,67.4,92.0,,44.4,11.3,65.6,100.0,120.1,,,,13.3,31.3,,,60.6
Ni I,4855.41,3.54,0.00,71.8,,,,,,,25.4,,,,,,28.9,,,,,,,,
Ni I,4648.65,3.42,0.00,58.5,,50.2,20.4,8.2,13.9,13.0,21.1,,7.0,,17.5,32.3,31.3,6.4,,,,,16.4,7.3,11.7
Ni I,4980.17,3.60,0.07,62.5,,55.2,,14.1,,16.5,25.8,,,,,30.0,,,,,4.4,,,,
Ni I,5754.66,1.93,0.00,67.2,,35.1,8.2,7.9,,5.9,19.2,,,,,29.3,,,,,,,,,
Ni I,5578.72,1.68,0.00,47.2,,17.8,5.9,,,4.4,16.0,,,,,17.0,,,,,,,,,
Ni I,3783.53,0.42,0.00,145.1,81.7,153.2,,127.0,,,112.8,17.3,86.4,37.0,93.0,122.5,154.0,71.2,38.6,87.1,,,,,
Ni I,4904.41,3.54,0.00,55.6,,48.2,12.9,10.9,11.9,15.5,22.9,,,,,28.3,,,,,,,12.6,,12.3
Ni I,6108.12,1.68,0.00,58.7,,30.6,,12.0,,8.7,14.7,,,,,23.1,,,,,,,,,
Ni I,3807.14,0.42,0.00,164.3,81.7,,110.6,119.7,,,117.0,16.7,,48.5,,,,75.1,,94.8,,75.2,93.6,,
Ni I,3597.70,0.21,0.00,183.1,85.0,137.5,128.8,124.4,,,113.0,24.5,98.8,50.1,,126.6,,75.3,46.5,,,,,,
Ni I,3437.28,0.00,0.00,,,,,,,,,,,,,,,92.6,,,,,,,
Ni I,5137.07,1.68,0.00,101.0,9.9,82.9,18.3,27.2,,22.6,,,,,,55.2,,,2.8,,,,,6.1,
Ni I,5115.39,3.83,0.00,37.1,,33.2,,,,8.5,10.8,,,,,16.9,15.9,,,9.4,,2.0,,,
Ni I,5084.09,3.68,0.03,56.7,,51.2,,,,11.3,19.7,,,,,24.1,25.1,,,15.1,,,,,
Ni I,6767.77,1.82,0.00,79.8,8.6,47.6,,17.3,,16.8,27.6,,,,11.5,42.4,,,,,,,,3.7,
Ni I,5155.76,3.90,0.00,36.9,,32.6,,,,4.3,10.8,,,,,16.2,,,,,,,,,
Ni I,3423.71,0.21,0.00,,,,,,126.4,,146.4,,,71.4,,,,,,,,,,,
Ni I,5081.11,3.84,0.30,59.9,,60.1,,,,,23.3,,,,18.2,28.6,29.8,,,,,,11.8,,
Ni I,6643.63,1.68,0.00,92.9,,,14.2,,,12.4,37.3,,,,11.4,49.2,,,,18.1,,,,,16.6
Ni I,5080.53,3.65,0.32,71.4,,64.6,,14.5,,15.3,29.8,,,,,39.4,38.9,5.8,5.2,,,,,,
Ni I,3452.89,0.11,0.00,,,,,,130.8,,,,,,,,,100.9,,,,,,,
Ni I,3472.54,0.11,0.00,,,,,,,,,,,,,,,96.9,,,,,,,
Ni I,3483.78,0.28,0.00,,,,,,,,,,,,,,,82.0,,,,,,,
Ni I,3492.96,0.11,0.00,,,,,,,,,,,83.7,,,,,,,,,,,
Ni I,3858.30,0.42,0.00,192.8,96.5,,131.5,,138.9,,,31.7,103.4,61.0,,,,80.3,51.9,100.4,48.2,83.3,109.6,,
Ni I,3524.54,0.02,0.01,,,,,,,,,,,90.3,,,,140.7,,,,,,,
Ni I,3500.85,0.16,0.00,163.4,83.5,136.4,,,,,117.2,,,,,,,,,,,,,,
Ni I,3519.76,0.28,0.00,192.9,,,,,,,,,,36.5,,126.3,,67.8,,,,,,,
Zn I,4810.53,4.08,0.00,,14.3,,,22.2,18.6,,,,,,15.8,,50.1,,,11.4,,8.0,7.3,,19.9
Zn I,4722.15,4.03,0.00,47.8,,50.6,17.9,15.5,17.7,13.0,18.9,,16.6,,12.8,27.1,49.3,,,,,3.7,,6.1,15.7
Y II,3747.55,0.10,0.00,,,,,,,,,,,,,0.0,,,,,,,,,
Y II,3832.90,0.18,0.00,,,,,85.4,,,,,,,,,,,,,,,,,
Y II,3549.00,0.13,0.00,84.9,,,,,,,,,,,,,,39.0,,25.7,,,29.9,,
Y II,3600.74,0.18,0.28,,,103.5,60.3,,79.3,,71.9,,,36.4,,,88.9,62.8,16.9,,16.6,,,,
Y II,3788.70,0.10,0.00,,22.3,100.7,64.2,88.2,70.2,,61.8,,34.4,23.8,56.7,84.7,85.4,54.3,,,8.1,25.7,,,
Y II,3818.34,0.13,0.00,,,,,,,,,,,,,,,26.6,,,,,,,
Y II,3950.36,0.10,0.00,91.8,9.9,88.2,33.1,66.8,49.9,12.1,54.9,,18.1,17.4,45.1,71.7,63.7,40.3,,,,,,,36.5
Zr II,3430.51,0.47,0.00,,,,,,,,56.1,,,,,,,,,,,,,,
Zr II,3714.79,0.53,0.00,74.3,,,,,,,22.9,,,,,41.4,43.7,,,,5.1,,,,
Zr II,3457.55,0.56,0.00,,,,,,25.5,,,,,,,,,,,,,,,,
Zr II,3751.61,0.97,0.01,86.0,19.4,,,,,,,,,,,,,,,,,,,,
Zr II,4090.51,0.76,0.00,62.9,,46.8,,23.6,7.3,,19.6,,,,,29.2,28.9,8.8,,5.3,,,,,
Zr II,3551.96,0.10,0.00,,,,,,62.6,,,,,,,,,58.9,,,,,,,
Zr II,3698.15,1.01,0.09,80.8,,,,,,,,,,,,,,,,,,,24.6,,
Zr II,3458.94,0.96,0.00,,,,,,,,,,,,7.1,,,,,,,,,,
Zr II,3536.94,0.36,0.00,45.3,,,,,,,,,,,,,,,,,,,,,
Zr II,3630.03,0.36,0.00,,,,,,,,,,,,,,34.5,,,,,8.1,,,
Zr II,3573.08,0.32,0.00,58.8,,,,,,,,,,,30.0,,,,,,,,,,
Zr II,4496.97,0.71,0.00,,,,,,29.9,,,,18.5,5.9,,,,,,,,,,,
Zr II,3998.95,0.56,0.00,93.4,9.0,81.0,28.6,51.9,33.4,,40.7,,,7.9,28.9,62.5,54.8,27.0,,20.5,,,19.7,,13.2
Ce II,4582.50,0.70,0.00,,,,,,,,,,,,,9.6,,,,,,,,,
Ce II,4628.16,0.52,0.14,,,,,6.2,3.2,,10.4,,,,8.0,14.7,,9.8,,,,,,,
Ce II,4486.91,0.30,0.00,30.7,,21.3,,6.3,,,7.2,,,,,13.2,7.2,9.6,,,,,,,
Ce II,4560.28,0.91,0.18,,,,,,,,,,,,,12.0,,,,,,,,,
Ce II,4364.65,0.50,0.00,19.3,,12.5,,,,,,,,,,8.8,,5.4,,,,,,,
Ce II,4562.36,0.48,0.21,,,,,16.1,,,13.1,,,,14.4,21.6,14.3,13.1,,,,,,,
Ce II,4382.16,0.68,0.13,,,,,,,,,,,,,,,5.9,,,,,,,
Ce II,4572.28,0.68,0.22,,,,,,,,,,,,,13.4,,,,,,,,,
Ce II,4399.20,0.33,0.00,,,,,,,,,,,,,10.5,,,,,,,,,
Ce II,4349.77,0.53,0.00,,,,,,,,,,,,,3.5,,,,,,,,,
Ce II,4449.33,0.61,0.04,,,,,,,,,,,,,18.5,,7.0,,,,,,,
Ce II,4523.08,0.52,0.00,,,,,,,,,,,,,15.1,,,,,,,,,
Ce II,3980.89,0.71,0.00,6.1,,,,,,,,,,,,,,,,,,,,,
Ce II,3912.42,0.30,0.00,,,,,,,,,,,,,12.5,,6.1,,,,,,,
Ce II,4222.60,0.12,0.00,40.0,,,,,,,9.2,,,1.5,14.2,,,,,,,,,,
Ce II,4118.14,0.70,0.13,21.1,,,,,,,,,,,,,,5.6,,,,,,,
Ce II,4120.83,0.32,0.00,20.9,,,,,,,,,,,,11.6,,,,,,,,,
Ce II,5274.23,1.04,0.13,,,,,,,,,,,,,4.5,,,,,,,,,
Ce II,4053.50,0.00,0.00,,,,,,,,,,,,,10.8,,5.8,,,,,,,
Ce II,4127.36,0.68,0.31,,,,,,,,,,,,,,,8.3,,,,,,,
Ce II,4083.22,0.70,0.27,,,,,,,,,,,,,14.4,,,,,,,,,
Ce II,3942.74,0.86,0.69,,,,,,,,,,,,,,,6.5,,,,,,,
Ce II,4145.00,0.70,0.10,,,14.3,,,,,,,,,,8.9,,,,,,,,,
Ce II,4042.58,0.50,0.00,,,,,,,,,,,,,11.8,,6.2,,,,,,,
Ce II,4137.65,0.52,0.40,,,,,,,,16.2,,,,,25.2,,15.2,,,,,,,
Ce II,3999.24,0.30,0.06,,,,,,,,,,,,,20.4,9.4,10.5,,,,,,,
Ce II,4073.47,0.48,0.21,32.5,,,,,,,,,,,,,,10.1,,,,,,,
Nd II,5311.45,0.98,0.00,12.2,,,,,,,,,,,,,,,,,,,,,
Nd II,4018.82,0.06,0.00,,,,,,,,,,,,,,,5.9,,,,,,,
Nd II,3990.10,0.47,0.13,,,,,,,,,,,,20.9,,,20.1,,,,,,,
Nd II,4902.04,0.06,0.00,16.7,,,,6.3,,,3.4,,,,,,,,,,,,,,
Nd II,4462.98,0.56,0.04,57.5,,40.6,,16.7,,,17.7,,,,,20.9,,11.8,,,,,,,
Nd II,4400.82,0.06,0.00,,,,,,,,,,,,,,,12.0,,,,,,,
Nd II,5293.16,0.82,0.10,28.5,,,,9.9,,,,,,,,9.3,,10.3,,,,,,,
Nd II,4563.22,0.18,0.00,32.4,,24.3,,5.8,,,5.9,,,,,,,6.4,,,,,,,
Nd II,5212.36,0.20,0.00,20.6,,18.1,,,,,,,,,,3.8,6.0,,,,,,,,
Nd II,4012.70,0.00,0.00,,,33.6,,,,,14.0,,,,,,,11.8,,,,,,,
Nd II,4542.60,0.74,0.00,,,,,5.3,,,,,,,,,,2.3,,,,,,,
Nd II,4446.38,0.20,0.00,43.8,,,,,,,11.0,,,2.1,12.3,,14.8,14.7,,,,,,,
Nd II,4914.38,0.38,0.00,22.4,,,,,,,,,,,3.9,4.5,,,,,,,,,
Nd II,5740.86,1.16,0.00,4.1,,,,,,,,,,,,,,,,,,,,,
Nd II,5234.19,0.55,0.00,23.9,,,,,,,,,,,,,,,,,,,,,
Nd II,4959.12,0.06,0.00,35.8,,22.1,,,,,,,,,,12.2,,,,,,,,,
Nd II,4385.66,0.20,0.00,,,,,,,,,,,,,,,14.4,,,,,,,
Nd II,4451.98,0.00,0.00,32.6,,21.9,,,,,,,,,,,,,,,,,,,
Nd II,4567.61,0.20,0.00,6.1,,6.1,,,,,,,,,,,,,,,,,,,
Nd II,5255.51,0.20,0.00,38.4,,,,,,,9.2,,,,,11.4,,10.0,,,,,,,
Nd II,4135.32,0.63,0.00,40.9,,30.4,,,,,,,,,5.6,,,7.4,,,,,,,
Nd II,4004.00,0.06,0.00,31.7,,,,,,,,,,,,,,8.3,,,,,,,
Nd II,4021.33,0.32,0.00,36.6,,,,,,,,,,,12.2,16.9,,16.5,,,,,,,
Nd II,4069.26,0.06,0.00,33.1,,,,,,,,,,,,,,12.4,,,,,,,
Nd II,4368.63,0.06,0.00,,,21.1,,,,,,,,,,9.7,,5.1,,,,,,,
Nd II,4777.72,0.38,0.00,15.1,,9.8,,,,,,,,,,,,,,,,,,,
Nd II,4797.15,0.56,0.00,9.4,,8.3,,,,,,,,,,,,,,,,,,,
Nd II,4232.37,0.06,0.00,50.0,,38.6,,,,,12.8,,,,,19.5,18.3,,,,,,,,
Nd II,4715.59,0.20,0.00,,,,,,,,,,,,,,,8.2,,,,,,,
Nd II,5092.79,0.38,0.00,25.9,,,,,,,,,,,,9.9,6.9,9.1,,,,,,,
Nd II,4061.08,0.47,0.55,67.7,,63.5,,38.5,13.9,,30.8,,,4.9,29.9,40.8,,34.2,,,,,,,
Nd II,4059.95,0.20,0.00,23.0,,,,,,,,,,,,,,,,,,,,,
Nd II,4709.72,0.18,0.00,28.3,,17.9,,,,,,,,,,,,6.2,,,,,,,
Nd II,4706.54,0.00,0.00,41.8,,32.1,,13.9,,,9.3,,,,,13.5,,13.8,,,,,,,
Nd II,4501.81,0.20,0.00,31.9,,20.0,,11.9,,,,,,,,12.1,,6.5,,,,,,,
Nd II,4820.34,0.20,0.00,45.1,,30.0,,,,,7.9,,,,,,,6.3,,,,,,,
Nd II,4825.48,0.18,0.00,47.2,,39.7,,17.4,,,14.1,,,,,16.8,,13.0,,,,,,,
Nd II,4051.14,0.38,0.00,,,32.1,,,,,14.5,,,,,15.7,,8.2,,,,,,,
Nd II,4351.28,0.18,0.00,,,,,,,,,,,,,,,6.1,,,,,,,
Nd II,5249.58,0.98,0.20,29.7,,37.0,,,,,,,,,,9.9,,7.8,,,,,,,
Nd II,4041.06,0.47,0.00,23.7,,,,,,,,,,,,,,,,,,,,,
Nd II,4023.00,0.56,0.04,34.3,,,,,,,15.7,,,,,21.5,,11.8,,,,,,,
Nd II,4358.16,0.32,0.00,49.5,,,,18.5,,,20.2,,,,,,19.8,15.4,,,,,,,
Nd II,3780.38,0.47,0.00,,,,,,,,,,,,8.1,,,,,,,,,,
Nd II,4109.45,0.32,0.35,90.8,,75.7,,40.8,,,37.7,,,,,47.8,,37.0,,,,,,,
Nd II,4645.76,0.56,0.00,9.8,,,,,,,,,,,,,,3.1,,,,,,,
Nd II,4859.03,0.32,0.00,38.3,,,,,,,,,,,,,10.5,,,,,,,,
Nd II,5319.81,0.55,0.00,34.6,,27.0,,,,,,,,,,12.8,9.7,12.1,,,,,,,
Nd II,5130.59,1.30,0.45,21.1,,16.0,,,,,,,,,,8.5,,6.7,,,,,,,
Nd II,3900.22,0.47,0.10,,,,,,,,,,,,,,,11.4,,,,,,,
Nd II,3784.24,0.38,0.15,39.9,,,,,12.8,,,,,,24.9,,18.3,21.0,,6.4,,,,,
Sm II,4499.48,0.25,0.00,10.7,,10.2,,,,,,,,,,,3.8,,,,,,,,
Sm II,3993.31,0.04,0.00,,,,,,,,,,,,,,,4.6,,,,,,,
Sm II,4452.72,0.28,0.00,42.2,,33.6,,,,,12.5,,,,8.5,,10.8,,,,,,,,
Sm II,4094.03,0.33,0.00,10.4,,,,,,,,,,,,,,,,,,,,,
Sm II,4542.05,0.25,0.00,,,7.3,,,,,,,,,,,,,,,,,,,
Sm II,4472.41,0.18,0.00,8.3,,,,,,,,,,,,3.9,,,,,,,,,
Sm II,4523.91,0.43,0.00,22.6,,19.9,,9.0,,,10.8,,,,,,,,,,,,,,
Sm II,4478.66,0.66,0.00,15.0,,18.1,,8.9,,,,,,,,,,,,,,,,,
Sm II,4536.51,0.10,0.00,,,6.5,,,,,,,,,,,,,,,,,,,
Sm II,4467.34,0.66,0.15,,,36.2,,,,,,,,,,10.2,,,,,,,,,
Sm II,4777.84,0.04,0.00,15.4,,,,,,,2.4,,,,,,,,,,,,,,
Sm II,3979.20,0.54,0.00,,,,,,,,,,,,,5.5,,,,,,,,,
Sm II,4318.93,0.28,0.00,,,,,,,,10.5,,,,,,,11.6,,,,,,,
Sm II,4669.39,0.10,0.00,,,,,,,,12.2,,,,,,7.1,,,,,,,,
Sm II,4329.02,0.18,0.00,,,24.6,,,,,9.4,,,,,,5.7,11.3,,,,,,,
Sm II,4844.21,0.28,0.00,,,,,7.3,,,,,,,,,,,,,,,,,
Sm II,4360.72,0.25,0.00,23.3,,,,,,,,,,,,,,,,,,,,,
Sm II,4362.03,0.48,0.00,,,21.7,,,,,,,,,,,,,,,,,,,
Sm II,4642.23,0.38,0.00,20.8,,17.5,,5.3,,,4.5,,,,6.4,,7.4,,,,,,,,
Sm II,4220.66,0.54,0.00,10.4,,,,,,,,,,,,4.2,,3.1,,,,,,,
Sm II,4206.12,0.38,0.00,,,,,,,,,,,,,2.3,,,,,,,,,
Sm II,3922.39,0.38,0.00,,,,,,,,,,,,5.5,,,7.9,,,,,,,
Sm II,4420.52,0.33,0.00,,,,,,,,,,,,,,,,,2.4,,,,,
Sm II,4421.13,0.38,0.00,27.7,,27.8,,,,,,,,,,,,,,,,,,,
Sm II,4188.13,0.54,0.00,,,,,,,,,,,,,4.0,,7.3,,,,,,,
Sm II,4256.39,0.38,0.00,,,,,,,,,,,,,,,15.9,,,,,,,
Sm II,4815.80,0.18,0.00,20.9,,13.5,,7.8,,,7.7,,,,,6.1,6.1,,,,,,,,
Sm II,4577.69,0.25,0.00,21.6,,15.0,,,,,6.3,6.3,,,6.2,5.5,,,,,,,,,
Sm II,4566.20,0.33,0.00,,,12.4,,,,,,,,,,5.8,3.7,,,,,,,,
Sm II,4424.34,0.48,0.14,48.9,,44.5,,21.0,,,18.1,,,2.6,16.6,18.7,15.1,,,,,,,,
Sm II,4244.70,0.28,0.00,7.4,,10.6,,,,,,,,,,3.1,,,,,,,,,
Sm II,4584.83,0.43,0.00,,,,,,,,,1.9,,,,,,,,,,,,,
Gd II,3422.46,0.24,0.71,,,,,,,,,,,12.9,,,,,,,,,,,
Gd II,4037.89,0.56,0.00,,,,,,,,,,,,,2.6,,,,,,,,,
Gd II,3549.36,0.24,0.29,,,,,,,,,,,,,,,20.5,,,,,,,
Gd II,4037.32,0.66,0.00,22.7,,,,,,,,,,,,,5.5,,,,,,,,
Gd II,3894.69,0.00,0.00,,,,,,,,24.6,,,,,,,16.6,,,,,,,
Gd II,4483.33,1.06,0.00,,,4.8,,,,,,,,,,,,,,,,,,,
Gd II,4085.56,0.73,0.00,,,,,,,,,,,,7.2,,,8.1,,,,,,,
Gd II,4506.34,0.50,0.00,10.9,,,,,,,,,,,,,,,,,,,,,
Gd II,3699.74,0.35,0.00,,,,,,,,8.0,,,,,,,,,,,,,,
Gd II,4316.05,0.66,0.00,16.0,,6.7,,,,,,,,,,,,,,,,,,,
Gd II,4251.73,0.38,0.00,32.7,,29.3,,11.6,,,4.1,,,,8.7,9.5,,13.4,,,,,,,
Gd II,4191.07,0.43,0.00,20.7,,,,7.5,,,,,,,,4.0,,,,,,,,,
Gd II,3957.67,0.60,0.00,,,,,,,,11.7,,,,,,,,,,,,,,
Gd II,4419.03,0.49,0.00,,,,,,,,,,,,,2.3,,,,,,,,,
Gd II,4049.85,0.99,0.48,,,37.7,,,,,,,,,,,,,,,,,,,
Dy II,3563.15,0.10,0.00,,,39.7,,,,,,,,,,17.6,,15.4,,,,,,,
Dy II,3531.71,0.00,0.77,,,,,,,,,,,21.6,,,,,,,,,,,
Dy II,3460.97,0.00,0.00,,,,,,,,,,,9.2,24.2,,,,,,,,,,
Dy II,3869.86,0.00,0.00,,,,,,,,,,,,,,,12.2,,,,,,,
Dy II,3983.65,0.54,0.00,,,,,16.5,,,,,,,,,,15.0,,,,,,,
Dy II,4468.14,0.10,0.00,12.8,,,,,,,,,,,,,,,,,,,,,
Dy II,3546.83,0.10,0.00,,,,,,,,,,,,,,,16.7,,,,,,,
Dy II,4077.97,0.10,0.00,,6.4,,,,,,,,,,,,,49.2,,,,,,,
Dy II,3538.52,0.00,0.00,,,,,,,,62.9,,,,,,,46.3,,,,,,,
Dy II,3536.02,0.54,0.53,,,57.5,,,,,21.3,,,,,,,39.8,,,,,,,
Dy II,3788.44,0.10,0.00,46.7,,,,,,,,,,,,16.8,21.5,24.0,,,,,,,
Er II,3781.01,0.67,0.00,,,,,,,,,,,,,,,2.5,,,,,,,
Er II,3896.23,0.06,0.00,,,,,,,,,,,,,,,33.3,,,,,,,
Er II,3786.84,0.00,0.00,,,,,,,,,,,,,,,16.1,,,,,,,
Er II,3499.10,0.06,0.29,,,,,,,,,,,,31.6,,,47.8,,,,,,,
Er II,3729.52,0.00,0.00,,,,,,,,,,,,,,,17.4,,,,,,,
Er II,3692.65,0.06,0.28,75.3,,,,,,,,,,,,,,47.9,,,,,,,
Er II,3830.48,0.00,0.00,70.2,,59.9,,41.6,,,30.5,,,,,31.1,23.5,,,,,,,,
Er II,3633.54,0.00,0.00,,,,,,,,,,,,,,26.3,21.8,,,,,,,
