Element,lambda,Kiex,loggf,W1,---,W2,---_1,W3,---_2,W4,---_3,W5,---_4,W6,---_5,W7,---_6,W8,---_7,W9,---_8,W10,---_9,l_W11,W11,---_10,W12,---_11,W13,---_12,W14,---_13,W15,---_14,W16,---_15,W17,---_16,W18,---_17,W19,---_18,W20,---_19,W21,---_20,W22,---_21,W23,---_22,W24,---_23,W25,---_24,W26,---_25,W27,---_26,W28,---_27,W29,---_28,W30,---_29,W31,---_30,W32,---_31,W33,---_32,W34,---_33,W35,---_34
Fe  1,6393.601,2.43,-1.58,56.6,,60.3,,70.8,,54.5,,28.5,,,,1.8,,13.8,,41.4,,38.7,,,6.3,,24.9,,11.6,,47.0,,53.8,,16.7,,,,20.9,,26.0,,23.0,,12.2,,12.5,,,,12.8,,25.9,,12.7,,23.6,,9.5,,38.7,,39.3,,14.1,,36.7,,28.9,,13.2,,35.7,
Fe  1,6400.001,3.6,-0.52,42.3,,36.9,,46.4,,42.2,,19.6,,,,2.4,,7.4,,26.6,,22.7,,,4.4,,15.5,,4.2,,30.2,,29.0,,13.3,,,,14.2,,17.1,,16.2,,7.8,,10.6,,,,8.6,,16.4,,9.2,,19.0,,5.5,,20.2,,26.8,,9.8,,30.1,,22.5,,7.5,,25.0,
Fe  1,6421.351,2.28,-2.03,43.1,,46.2,,56.5,,40.3,,19.5,,,,1.8,,6.3,,31.8,,27.2,,,4.3,,17.1,,6.0,,33.9,,40.4,,13.9,,,,14.6,,14.4,,23.6,,7.5,,6.2,,,,7.6,,18.6,,7.5,,15.3,,4.5,,26.3,,28.1,,6.6,,24.0,,16.8,,9.4,,23.3,
Fe  1,6430.846,2.18,-2.01,51.9,,56.1,,65.9,,47.2,,25.2,,,,2.2,,10.8,,39.8,,35.9,,,4.7,,21.7,,9.1,,42.6,,54.0,,16.1,,,,21.8,,22.3,,19.7,,10.2,,11.5,,,,11.4,,19.1,,10.9,,20.8,,6.1,,33.1,,35.6,,9.8,,30.7,,24.0,,10.9,,,
Fe  1,6494.98,2.4,-1.27,,,,,,,72.0,,49.4,,,,,,,,,,55.6,,,,,,,20.4,,,,,,,,8.3,,,,,,40.4,,,,,,,,22.7,,,,,,,,19.5,,,,,,23.3,,,,44.7,,24.0,,51.9,
Fe  2,4122.668,2.58,-3.38,,,21.2,,25.6,,73.8,,21.7,,1.2,,,,4.0,,18.3,,15.3,,,2.4,,10.1,,3.3,,19.6,,17.3,,8.8,,,,8.4,,8.7,,,,3.2,,7.6,,,,5.3,,8.7,,3.1,,5.9,,3.2,,12.1,,13.6,,4.0,,8.1,,,,,,11.0,
Fe  2,4128.748,2.58,-3.47,14.9,,12.4,,15.5,,18.1,,6.3,,,,2.0,,2.5,,7.2,,6.9,,,1.2,,5.1,,,,10.3,,8.8,,3.3,,,,5.3,,5.7,,3.9,,2.1,,2.9,,,,,,4.6,,2.9,,,,,,6.2,,7.2,,,,5.3,,,,,,,
Fe  2,4178.862,2.58,-2.5,68.4,,55.2,,60.1,,65.5,,35.4,,5.6,,5.0,,20.0,,51.7,,46.9,,,10.1,,40.9,,15.6,,55.4,,50.0,,32.1,,5.8,,35.1,,35.5,,25.9,,18.6,,24.6,,5.0,,23.8,,31.4,,22.5,,26.2,,14.1,,43.2,,44.7,,15.7,,36.7,,32.0,,15.5,,38.0,
Fe  2,4233.172,2.58,-1.9,88.0,,82.2,,87.3,,93.8,,66.8,,15.8,,11.8,,46.5,,79.6,,69.0,,,29.1,,69.3,,37.5,,84.6,,78.3,,58.3,,17.1,,62.6,,65.6,,53.8,,43.1,,56.8,,20.2,,49.6,,58.9,,43.6,,54.0,,35.1,,72.1,,75.0,,39.4,,69.9,,60.4,,40.5,,65.0,
Fe  2,4416.83,2.78,-2.41,53.2,,39.9,,49.4,,59.0,,25.9,,3.1,,1.8,,14.8,,39.1,,31.9,,,6.8,,28.3,,10.3,,43.0,,34.7,,22.0,,,,25.1,,29.6,,12.5,,11.1,,17.3,,4.9,,15.6,,21.3,,13.6,,17.2,,8.4,,28.8,,34.9,,10.2,,25.6,,21.6,,12.1,,20.0,
Fe  2,4491.405,2.86,-2.7,42.9,,31.6,,38.2,,45.6,,16.5,,,,,,7.1,,27.5,,22.3,,,3.8,,19.8,,6.1,,29.7,,24.2,,16.2,,,,14.6,,14.3,,16.1,,6.3,,11.4,,,,10.1,,11.3,,6.3,,9.3,,6.2,,19.0,,23.9,,5.6,,21.6,,15.8,,12.2,,18.0,
Fe  2,4508.288,2.86,-2.25,65.1,,48.6,,58.9,,64.4,,32.1,,3.9,,1.0,,15.8,,46.7,,39.4,,,6.8,,36.2,,10.9,,53.0,,47.0,,27.1,,5.3,,29.7,,33.0,,20.2,,13.5,,24.9,,,,19.4,,29.3,,19.0,,25.3,,13.4,,38.5,,46.5,,12.4,,31.7,,29.4,,14.7,,35.0,
Fe  2,4515.339,2.84,-2.45,57.7,,44.3,,51.5,,53.9,,25.9,,2.3,,3.6,,11.8,,38.1,,28.7,,,6.3,,29.7,,12.0,,46.6,,39.9,,18.3,,,,23.5,,24.7,,16.4,,13.0,,19.7,,3.4,,17.4,,21.3,,13.5,,21.1,,7.3,,30.6,,34.2,,13.7,,27.3,,23.1,,9.3,,28.0,
Fe  2,4520.224,2.81,-2.6,54.5,,47.4,,50.9,,54.7,,24.4,,,,1.3,,15.2,,35.5,,32.7,,,5.2,,25.6,,10.9,,42.4,,37.8,,20.8,,,,21.0,,21.8,,16.4,,11.0,,16.0,,2.8,,15.2,,19.2,,12.4,,14.6,,8.4,,25.4,,31.4,,8.3,,25.1,,21.8,,9.1,,27.0,
Fe  2,4522.634,2.84,-2.03,,,,,,,76.3,,,,,,,,,,,,64.3,,,,,,,18.4,,,,,,,,5.0,,,,43.5,,33.5,,,,,,,,28.8,,,,,,,,21.2,,,,,,20.3,,,,26.8,,23.7,,62.0,
Fe  2,4541.524,2.86,-2.79,27.8,,22.8,,29.9,,31.0,,12.9,,,,1.1,,6.3,,19.8,,14.5,,,2.9,,14.0,,4.7,,20.7,,20.0,,8.5,,,,8.4,,12.9,,7.2,,8.2,,7.7,,,,8.9,,9.4,,6.6,,8.3,,3.5,,13.8,,17.2,,3.5,,14.8,,9.6,,,,11.0,
