# These are the reported abundances. They did not report the [FeI/H] abundance.
Name            , [FeII/H], [Mg/FeI], [Si/FeI], [Ca/FeI], [TiI/FeI], [TiII/FeII]
J220211.8-441701, -2.36   , 0.23    ,         , 0.21    , 0.17     , 0.36
J220403.6-402918, -2.38   , 0.38    ,         , 0.31    , 0.26     , 0.3
J222235.9-013827, -2.83   , 0.41    ,         , 0.25    , 0.11     , 0.22
J223203.2-213556, -0.89   , 0.36    , 0.3     , 0.12    , 0.01     , 0.2
J224923.5-213029, -2.38   , 0.31    ,         , 0.25    , 0.12     , 0.26
J225822.1-530715, -1.13   , 0.47    , 0.35    , 0.34    , 0.16     , 0.33
J225939.5-130249, -1.39   , 0.31    , 0.23    , 0.3     , 0.02     , 0.25
J230028.8-284922, -1.58   , 0.32    , 0.43    , 0.27    , 0.13     , 0.25
J230222.8-683323, -2.42   , 0.49    , 0.63    , 0.37    , 0.19     , 0.3
J230955.6-142048, -1.61   , 0.31    , 0.4     , 0.16    , 0.15     , 0.34
J231348.3-172808, -1.79   , 0.35    , 0.38    , 0.27    , 0.1      , 0.26
J232143.5-492914, -1.54   , 0.29    , 0.28    , 0.32    , 0.1      , 0.17
J234945.3-431707, -1.64   , 0.33    , 0.36    , 0.09    , 0.11     , 0.22
J235210.2-534929, -2.25   , 0.44    , 0.48    , 0.31    , 0.13     , 0.23
J235221.1-270333, -0.54   , 0.17    , 0.2     , 0.14    , -0.06    , 0.08
T4683_01164_1   , -1.29   , 0.19    , 0.4     , 0.24    , 0.14     , 0.18
T4687_02037_1   , -0.71   , 0.24    , 0.28    , 0.24    , 0.1      , 0.14
T4701_00802_1   , -0.6    , 0.34    , 0.28    , 0.13    , 0.15     , 0.27
T4944_01332_1   , -1.16   , 0.5     , 0.36    , 0.24    , 0.07     , 0.23
T4954_00606_1   , -0.98   , 0.45    , 0.41    , 0.25    , 0.2      , 0.34
T4956_00959_1   , -0.88   , 0.42    , 0.34    , 0.26    , 0.16     , 0.32
T4968_00858_1   , -1.75   , 0.44    , 0.46    , 0.35    , 0.25     , 0.31
T4995_00333_1   , -1.87   , 0.27    , 0.35    , 0.25    , 0.07     , 0.19
T5008_00508_1   , -1.09   , 0.32    , 0.23    , 0.19    , 0.02     , 0.14
T5271_00001_1   , -2.03   , 0.17    , 0.3     , 0.22    , 0.08     , 0.25
T5277_01245_1   , -1.64   , 0.33    , 0.39    , 0.4     , 0.28     , 0.32
T5295_00511_1   , -0.5    , 0.11    , 0.16    , 0.13    , -0.12    , 0.04
T5310_00259_1   , -1.45   , 0.34    , 0.28    , 0.21    , 0.07     , 0.2
T5311_00017_1   , -0.67   , 0.28    , 0.25    , 0.06    , 0.04     , 0.3
T5481_00786_1   , -1.67   , 0.22    , 0.3     , 0.18    , 0.1      , 0.31
T5492_00011_1   , -0.61   , 0.27    , 0.3     , 0.09    , 0.13     , 0.28
T5495_00660_1   , -0.44   , 0.07    , 0.17    , 0.08    , -0.04    , 0.1
T5496_00376_1   , -0.63   , 0.23    , 0.19    , 0.16    , 0.01     , 0.17
T5499_00076_1   , -0.53   , 0.07    , 0.12    , 0.08    , 0.21     , 0.21
T5507_01406_1   , -0.53   , -0.06   , 0.01    , 0.06    , 0.12     , 0.17
T5551_00318_1   , -0.9    , 0.3     , 0.28    , 0.16    , 0.05     , 0.15
T5552_00154_1   , -1.45   , -0.06   , -0.15   , -0.19   , -0.46    , -0.27
T5762_00685_1   , -1.05   , 0.46    , 0.54    , 0.38    , 0.18     , 0.33
T5789_00559_1   , -1.13   , 0.53    , 0.51    , 0.23    , 0.09     , 0.22
T5843_00314_1   , -1.67   , 0.28    , 0.41    , 0.34    , 0.17     , 0.36
T5866_00288_1   , -0.57   , 0.14    , 0.24    , 0.13    , -0.05    , 0.12
T5875_00738_1   , -1.34   , 0.5     , 0.34    , 0.39    , 0.18     , 0.43
T5911_00452_1   , -2.12   , 0.34    ,         , 0.34    , 0.29     , 0.29
