Name,Species,Ion,l_logepsX,logepsX,e_[X/Fe],e_[X/H]
J113110.2-154315,26.1,Fe II,,6.94,,
J113635.0-083517,12.0,Mg I,,6.96,,
J113635.0-083517,14.0,Si I,,6.97,,
J113635.0-083517,20.0,Ca I,,5.58,,
J113635.0-083517,22.0,Ti I,,4.27,,
J113635.0-083517,22.1,Ti II,,4.15,,
J113635.0-083517,26.0,Fe I,,6.56,,
J113635.0-083517,26.1,Fe II,,6.56,,
J114029.4-222107,12.0,Mg I,,6.02,,
J114029.4-222107,14.0,Si I,,5.94,,
J114029.4-222107,20.0,Ca I,,4.72,,
J114029.4-222107,22.0,Ti I,,3.3,,
J114029.4-222107,22.1,Ti II,,3.48,,
J114029.4-222107,26.0,Fe I,,5.68,,
J114029.4-222107,26.1,Fe II,,5.68,,
J114200.1-161729,12.0,Mg I,,6.9,,
J114200.1-161729,14.0,Si I,,6.84,,
J114200.1-161729,20.0,Ca I,,5.61,,
J114200.1-161729,22.0,Ti I,,4.18,,
J114200.1-161729,22.1,Ti II,,4.24,,
J114200.1-161729,26.0,Fe I,,6.52,,
J114200.1-161729,26.1,Fe II,,6.52,,
J115337.3-020036,12.0,Mg I,,5.8,,
J115337.3-020036,14.0,Si I,,5.78,,
J115337.3-020036,20.0,Ca I,,4.52,,
J115337.3-020036,22.0,Ti I,,3.06,,
J115337.3-020036,22.1,Ti II,,3.23,,
J115337.3-020036,26.0,Fe I,,5.36,,
J115337.3-020036,26.1,Fe II,,5.36,,
J115408.3-125455,12.0,Mg I,,6.15,,
J115408.3-125455,14.0,Si I,,6.24,,
J115408.3-125455,20.0,Ca I,,4.84,,
J115408.3-125455,22.0,Ti I,,3.4,,
J115408.3-125455,22.1,Ti II,,3.52,,
J115408.3-125455,26.0,Fe I,,5.74,,
J115408.3-125455,26.1,Fe II,,5.74,,
J115824.2-130520,12.0,Mg I,,7.03,,
J115824.2-130520,14.0,Si I,,7.08,,
J115824.2-130520,20.0,Ca I,,5.79,,
J115824.2-130520,22.0,Ti I,,4.27,,
J115824.2-130520,22.1,Ti II,,4.43,,
J115824.2-130520,26.0,Fe I,,6.85,,
J115824.2-130520,26.1,Fe II,,6.85,,
J120213.1-111220,12.0,Mg I,,6.58,,
J120213.1-111220,14.0,Si I,,6.62,,
J120213.1-111220,20.0,Ca I,,5.33,,
J120213.1-111220,22.0,Ti I,,3.81,,
J120213.1-111220,22.1,Ti II,,3.97,,
J120213.1-111220,26.0,Fe I,,6.16,,
J120213.1-111220,26.1,Fe II,,6.16,,
J120244.8-171201,12.0,Mg I,,7.16,,
J120244.8-171201,14.0,Si I,,7.0,,
J120244.8-171201,20.0,Ca I,,5.61,,
J120244.8-171201,22.0,Ti I,,4.36,,
J120244.8-171201,22.1,Ti II,,4.36,,
J120244.8-171201,26.0,Fe I,,6.61,,
J120244.8-171201,26.1,Fe II,,6.61,,
J120324.9-353405,12.0,Mg I,,6.41,,
J120324.9-353405,14.0,Si I,,6.4,,
J120324.9-353405,20.0,Ca I,,5.17,,
J120324.9-353405,22.0,Ti I,,3.69,,
J120324.9-353405,22.1,Ti II,,3.84,,
J120324.9-353405,26.0,Fe I,,5.99,,
J120324.9-353405,26.1,Fe II,,5.99,,
J120920.8-203636,12.0,Mg I,,6.55,,
J120920.8-203636,14.0,Si I,,6.46,,
J120920.8-203636,20.0,Ca I,,5.26,,
J120920.8-203636,22.0,Ti I,,3.73,,
J120920.8-203636,22.1,Ti II,,3.87,,
J120920.8-203636,26.0,Fe I,,6.04,,
J120920.8-203636,26.1,Fe II,,6.04,,
J121231.9-334428,12.0,Mg I,,6.96,,
J121231.9-334428,14.0,Si I,,6.96,,
J121231.9-334428,20.0,Ca I,,5.75,,
J121231.9-334428,22.0,Ti I,,4.28,,
J121231.9-334428,22.1,Ti II,,4.34,,
J121231.9-334428,26.0,Fe I,,6.75,,
J121231.9-334428,26.1,Fe II,,6.75,,
J122239.1-422157,12.0,Mg I,,6.38,,
J122239.1-422157,14.0,Si I,,6.37,,
J122239.1-422157,20.0,Ca I,,5.02,,
J122239.1-422157,22.0,Ti I,,3.57,,
J122239.1-422157,22.1,Ti II,,3.72,,
J122239.1-422157,26.0,Fe I,,5.94,,
J122239.1-422157,26.1,Fe II,,5.94,,
J123050.9-451108,12.0,Mg I,,6.46,,
J123050.9-451108,14.0,Si I,,6.39,,
J123050.9-451108,20.0,Ca I,,5.22,,
J123050.9-451108,22.0,Ti I,,3.65,,
J123050.9-451108,22.1,Ti II,,3.91,,
J123050.9-451108,26.0,Fe I,,6.08,,
J123050.9-451108,26.1,Fe II,,6.08,,
J123824.6-292725,12.0,Mg I,,7.04,,
J123824.6-292725,14.0,Si I,,7.05,,
J123824.6-292725,20.0,Ca I,,5.77,,
J123824.6-292725,22.0,Ti I,,4.27,,
