Found, DEC_input   , RA_input   , Query_ID   , MAIN_ID                , RA           , DEC          , RA_PREC, DEC_PREC, COO_ERR_MAJA, COO_ERR_MINA, COO_ERR_ANGLE, COO_QUAL, COO_WAVELENGTH, COO_BIBCODE        , FLUX_U, FLUX_B, FLUX_V, FLUX_R, FLUX_I, FLUX_J, FLUX_H, FLUX_K, OTYPE     , SP_TYPE, RA_2         , DEC_2        , PMRA  , PMDEC  , PLX_VALUE, RV_VALUE, SCRIPT_NUMBER_ID
True , -34:36:00.60, 02:38:19.28, Fnx-rgb0507, 2MASS J02381931-3436008, 02 38 19.3173, -34 36 00.867,      14,       14,       0.056 ,       0.0715,            90, A       , O             , 2020yCat.1350....0G,       , 19.971, 18.4  ,       , 17.02 , 15.846, 15.425, 15.345, RGB*      ,        , 02 38 19.3173, -34 36 00.867, 0.373 , -0.318 ,    0.1427,  50.2   ,                1
True , -34:36:18.10, 02:38:21.30, Fnx-rgb0509, FBW J023821.3-343618   , 02 38 21.3337, -34 36 18.281,      14,       14,       0.0459,       0.0574,            90, A       , O             , 2020yCat.1350....0G,       , 20.142, 18.335,       , 16.393, 15.402, 14.635, 14.186, AGB*      ,        , 02 38 21.3337, -34 36 18.281, 0.459 , -0.423 ,          ,  83.3397,                1
True , -34:36:21.90, 02:37:48.40, Fnx-rgb0510, 2MASS J02374841-3436219, 02 37 48.4154, -34 36 21.925,      14,       14,       0.0516,       0.072 ,            90, A       , O             , 2020yCat.1350....0G,       , 20.287, 18.33 ,       , 16.75 , 15.838, 14.946, 14.708, RGB*      ,        , 02 37 48.4154, -34 36 21.925, 0.372 , -0.554 ,    0.1656,  52.8709,                1
True , -34:37:03.30, 02:38:02.66, Fnx-rgb0522, [LDH2014] Fnx-rgb0522  , 02 38 02.6914, -34 37 03.529,      14,       14,       0.0536,       0.0697,            90, A       , O             , 2020yCat.1350....0G,       , 19.807, 18.517,       , 17.154, 16.162, 15.574, 15.398, RGB*      ,        , 02 38 02.6914, -34 37 03.529, 0.328 , -0.415 ,          ,  62.6   ,                1
True , -34:38:53.80, 02:38:19.73, Fnx-rgb0536, DK 16                  , 02 38 19.7695, -34 38 54.143,      14,       14,       0.0528,       0.067 ,            90, A       , O             , 2020yCat.1350....0G,       , 20.508, 18.41 ,       , 16.9  , 15.562, 14.858, 14.429, AGB*      ,        , 02 38 19.7695, -34 38 54.143, 0.408 , -0.372 ,          ,  46.3   ,                1
True , -34:39:24.70, 02:38:46.77, Fnx-rgb0539, 2MASS J02384682-3439250, 02 38 46.8191, -34 39 25.136,      14,       14,       0.0586,       0.0758,            90, A       , O             , 2020yCat.1350....0G,       , 20.082, 18.37 ,       , 16.83 , 15.732, 15.09 , 14.75 , RGB*      ,        , 02 38 46.8191, -34 39 25.136, 0.36  , -0.124 ,          ,  51.0   ,                1
True , -34:41:23.90, 02:38:25.17, Fnx-rgb0553, [LDH2014] Fnx-rgb0553  , 02 38 25.2111, -34 41 24.258,      14,       14,       0.0551,       0.071 ,            90, A       , O             , 2020yCat.1350....0G,       , 20.284, 18.655,       , 17.033, 15.877, 15.127, 14.917, RGB*      ,        , 02 38 25.2111, -34 41 24.258, 0.429 , -0.246 ,          ,  66.3   ,                1
True , -34:41:37.80, 02:38:34.99, Fnx-rgb0556, [WMO2009] For-1095     , 02 38 35.0341, -34 41 38.125,      14,       14,       0.0633,       0.079 ,            90, A       , O             , 2020yCat.1350....0G,       , 20.254, 18.56 ,       , 17.09 , 15.969, 15.324, 15.397, RGB*      ,        , 02 38 35.0341, -34 41 38.125, 0.353 , -0.428 ,    0.1907,  43.5   ,                1
True , -34:42:40.50, 02:38:34.98, Fnx-rgb0561, [WMO2009] For-2122     , 02 38 35.0324, -34 42 40.665,      14,       14,       0.0521,       0.0678,            90, A       , O             , 2020yCat.1350....0G,       , 20.039, 18.42 ,       , 16.93 , 15.861, 15.152, 14.794, RGB*      ,        , 02 38 35.0324, -34 42 40.665, 0.442 , -0.35  ,          ,  49.3309,                1
True , -34:44:20.10, 02:38:41.08, Fnx-rgb0574, [WMF2009] F 31013      , 02 38 41.1151, -34 44 20.558,      14,       14,       0.0424,       0.0557,            90, A       , O             , 2020yCat.1350....0G,       , 19.672, 18.157,       , 16.653, 15.54 , 14.82 , 14.57 , AGB*      ,        , 02 38 41.1151, -34 44 20.558, 0.387 , -0.396 ,          ,  49.9221,                1
True , -34:46:55.20, 02:38:13.90, Fnx-rgb0590, [WMO2009] For-1401     , 02 38 13.9378, -34 46 55.578,      14,       14,       0.0656,       0.0841,            90, A       , O             , 2020yCat.1350....0G,       , 20.057, 18.705,       , 17.36 , 16.331, 15.925, 15.48 , RGB*      ,        , 02 38 13.9378, -34 46 55.578, 0.276 , -0.238 ,          ,  65.0   ,                1
True , -34:47:44.10, 02:38:30.85, Fnx-rgb0596, [MOW91] 103            , 02 38 30.8864, -34 47 44.436,      14,       14,       0.0628,       0.0812,            90, A       , O             , 2020yCat.1350....0G,       , 19.847, 18.697,       , 17.383, 16.448, 15.963, 15.83 , RGB*      ,        , 02 38 30.8864, -34 47 44.436, 0.477 , -0.464 ,    0.2404,  28.6   ,                1
True , -34:54:30.50, 02:37:47.30, Fnx-rgb0614, [LDH2014] Fnx-rgb0614  , 02 37 47.300 , -34 54 30.50 ,       7,        7,             ,             ,             0, C       , O             , 2014A&A...572A..88L,       , 19.841, 18.448,       , 16.592, 15.407, 14.793, 14.622, RGB*      ,        , 02 37 47.300 , -34 54 30.50 ,       ,        ,          ,   4.6   ,                1
