Found,DEC_input,RA_input,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,-50:58:07.60,06:41:18.32,MKV0797,[WMO2009] Car-0118,06 41 18.3143,-50 58 07.756,14,14,0.1717,0.1729,90,A,O,2020yCat.1350....0G,,20.211,19.356,,18.297,17.54,17.064,17.157,RGB*_Candidate,,06 41 18.3143,-50 58 07.756,0.455,-0.25,,219.8,1
True,-50:58:08.50,06:40:24.32,MKV0798,[MOP2000] C120338,06 40 24.3417,-50 58 08.664,14,14,0.1159,0.131,90,A,O,2020yCat.1350....0G,,19.979,18.89,,17.478,16.697,15.962,15.541,Star,,06 40 24.3417,-50 58 08.664,7.558,3.635,0.5819,87.7,1
True,-50:58:21.70,06:40:51.62,MKV0812,[MOP2000] C120769,06 40 51.6122,-50 58 21.764,14,14,0.1482,0.1547,90,A,O,2020yCat.1350....0G,,20.107,19.155,,18.037,17.306,16.728,16.617,RGB*,,06 40 51.6122,-50 58 21.764,0.701,-0.097,0.1277,213.7,1
True,-50:58:24.00,06:42:29.33,MKV0814,[LHT2012] MKV0814,06 42 29.33,-50 58 24.0,6,6,,,0,D,O,2012A&A...538A.100L,,18.478,17.532,,16.4,,,,Star,,06 42 29.33,-50 58 24.0,,,,47.0,1
True,-50:58:38.30,06:40:56.96,MKV0825,[WMO2009] Car-0225,06 40 56.9599,-50 58 38.308,14,14,0.0756,0.0797,90,A,O,2020yCat.1350....0G,,19.329,18.138,,16.813,15.928,15.12,14.956,RGB*,,06 40 56.9599,-50 58 38.308,0.471,0.153,0.0789,218.6,1
True,-50:58:44.90,06:42:24.63,MKV0832,[WMO2009] Car-0545,06 42 24.6419,-50 58 45.192,14,14,0.1409,0.1279,90,A,O,2020yCat.1350....0G,,20.251,19.142,,17.736,16.816,15.982,,Star,,06 42 24.6419,-50 58 45.192,-3.332,8.373,0.7696,61.5,1
True,-50:58:59.40,06:42:02.81,MKV0840,[WMO2009] Car-0526,06 42 02.8073,-50 58 59.421,14,14,0.0818,0.0777,90,A,O,2020yCat.1350....0G,,19.36,18.242,,16.954,16.105,15.558,15.164,RGB*,,06 42 02.8073,-50 58 59.421,0.579,0.172,0.0145,222.3,1
True,-50:59:01.90,06:40:22.51,MKV0842,[MOP2000] C120318,06 40 22.4997,-50 59 01.861,14,14,0.1338,0.1419,90,A,O,2020yCat.1350....0G,,20.047,19.109,,17.966,,,,RGB*,,06 40 22.4997,-50 59 01.861,0.493,0.215,0.123,226.8,1
True,-50:59:02.40,06:41:30.01,MKV0843,[FBN2016] 90977,06 41 29.9982,-50 59 02.479,14,14,0.1362,0.1332,90,A,O,2020yCat.1350....0G,,19.905,18.993,,17.879,17.099,16.543,16.456,RGB*_Candidate,,06 41 29.9982,-50 59 02.479,0.73,-0.157,0.0373,222.8,1
True,-50:59:02.90,06:40:31.35,MKV0844,[LHT2012] MKV0844,06 40 31.35,-50 59 02.9,6,6,,,0,D,O,2012A&A...538A.100L,,20.022,19.1,,17.955,,,,RGB*_Candidate,,06 40 31.35,-50 59 02.9,,,,216.6,1
True,-50:59:04.50,06:42:15.99,MKV0846,[FBN2016] 121240,06 42 15.9824,-50 59 04.352,14,14,0.1518,0.139,90,A,O,2020yCat.1350....0G,,20.109,19.095,,17.972,17.134,16.616,16.467,RGB*_Candidate,,06 42 15.9824,-50 59 04.352,0.463,0.034,,206.2,1
True,-50:59:05.20,06:42:39.77,MKV0847,[LHT2012] MKV0847,06 42 39.77,-50 59 05.2,6,6,,,0,D,O,2012A&A...538A.100L,,18.641,17.817,,16.709,,,,Star,,06 42 39.77,-50 59 05.2,,,,312.1,1
True,-50:59:12.80,06:41:37.54,MKV0850,[MOP2000] C121895,06 41 37.5544,-50 59 12.910,14,14,0.2076,0.2049,90,A,O,2020yCat.1350....0G,,20.337,19.401,,18.279,,,,RGB*_Candidate,,06 41 37.5544,-50 59 12.910,0.482,0.072,,221.8,1
True,-50:59:19.10,06:40:41.77,MKV0860,[MOP2000] C120583,06 40 41.82,-50 59 19.4,6,6,,,0,D,O,2006ApJ...649..201M,,20.451,19.311,,17.912,,,,Star,,06 40 41.82,-50 59 19.4,,,,33.5,1
True,-50:59:28.40,06:42:17.10,MKV0866,[MOP2000] C160609,06 42 17.1311,-50 59 28.652,14,14,0.0972,0.0951,90,A,O,2020yCat.1350....0G,,19.414,18.467,,17.276,16.493,16.325,15.841,Star,,06 42 17.1311,-50 59 28.652,-3.286,10.56,0.2533,28.1,1
True,-50:59:42.40,06:41:48.71,MKV0875,[WMO2009] Car-0520,06 41 48.72,-50 59 42.4,6,6,,,0,C,O,2009AJ....137.3100W,,20.109,19.288,,18.185,17.439,16.943,16.818,RGB*_Candidate,,06 41 48.72,-50 59 42.4,,,,208.0,1
True,-50:59:44.10,06:41:12.61,MKV0877,[WMO2009] Car-0227,06 41 12.6128,-50 59 44.072,14,14,0.1485,0.1517,90,A,O,2020yCat.1350....0G,,20.17,19.22,,18.074,17.268,16.706,16.526,RGB*_Candidate,,06 41 12.6128,-50 59 44.072,0.416,0.415,0.0078,215.7,1
True,-50:59:47.90,06:41:15.66,MKV0880,[MOP93] 15,06 41 15.6636,-50 59 48.032,14,14,0.0577,0.0586,90,A,O,2020yCat.1350....0G,,19.168,17.867,,16.448,15.456,14.768,14.546,RGB*,,06 41 15.6636,-50 59 48.032,0.55,0.053,0.0123,224.6,1
True,-51:00:17.50,06:41:17.47,MKV0898,[WMO2009] Car-1945,06 41 17.4736,-51 00 17.419,14,14,0.1301,0.1461,90,A,O,2020yCat.1350....0G,,19.922,18.969,,17.823,16.995,16.444,16.282,RGB*_Candidate,,06 41 17.4736,-51 00 17.419,0.448,0.527,,216.1,1
True,-51:00:18.30,06:41:27.15,MKV0900,[MOP2000] C121630,06 41 27.1806,-51 00 18.345,14,14,0.0585,0.057,90,A,O,2020yCat.1350....0G,,19.023,17.744,,16.352,15.366,14.637,14.622,RRLyrae,,06 41 27.1806,-51 00 18.345,0.558,0.07,,232.5,1
True,-51:00:18.70,06:42:06.47,MKV0901,[WMO2009] Car-1432,06 42 06.4646,-51 00 18.579,14,14,0.1373,0.1352,90,A,O,2020yCat.1350....0G,,20.035,19.082,,17.919,17.126,16.553,16.423,RGB*_Candidate,,06 42 06.4646,-51 00 18.579,0.396,0.19,,218.6,1
True,-51:00:18.70,06:41:16.31,MKV0902,[MOP2000] C121334,06 41 16.3077,-51 00 18.658,14,14,0.0754,0.0752,90,A,O,2020yCat.1350....0G,,19.292,18.153,,16.84,15.858,15.388,15.292,RGB*,,06 41 16.3077,-51 00 18.658,0.508,0.081,0.1011,221.8,1
True,-51:00:18.70,06:41:16.31,MKV0902,[WMO2009] Car-1526,06 41 16.0641,-51 00 21.375,14,14,0.4169,0.4304,90,A,O,2020yCat.1350....0G,,21.083,20.446,,19.576,,,,Star,,06 41 16.0641,-51 00 21.375,0.887,-1.869,0.4004,217.2,1
True,-51:00:42.70,06:40:42.49,MKV0914,[MOP2000] C120597,06 40 42.4808,-51 00 42.558,14,14,0.0799,0.0881,90,A,O,2020yCat.1350....0G,,19.372,18.287,,16.986,16.17,15.622,15.383,RGB*,,06 40 42.4808,-51 00 42.558,0.62,0.082,0.0136,232.4,1
