JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,M/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7426,0,ROE10c,Roederer+2010c,HD 214362,HD 214362,,,,MP,,,,HB,22:37:58.680,-22:38:40.200,339.4945,-22.6445,,,,9.56,8.8,,,7.924,7.616,7.535,,,-1.87,,,,,,,,,,,,,,,,,,,,,5.63,,,,2.71,,,,,,,0.32,,,,,,,,,,,,-0.48,,,,,-0.82,,,,,,,,,,,,,,,,<1.0,,,,,,,,,,Yelland
7427,1,ROE10c,Roederer+2010c,HD 214925,HD 214925,,,,VMP,,,,,22:41:59.424,-20:47:03.840,340.4976,-20.7844,,,,10.77,9.3,,,6.757,6.075,5.908,,,-2.08,,,,,,,,,,,,,,,,,,,,,5.42,,,,,,,,,,,,,,,,,,,,,,,-0.86,,,,,-1.09,,,,,,,,,,,,,,,,-0.5,,,,,,,,,,Yelland
7428,0,ROE10c,Roederer+2010c,HD 216143,HD 216143,,,,VMP,,,,,22:50:31.080,-06:54:49.680,342.6295,-6.9138,,,,8.78,7.81,7.44,,5.871,5.269,5.147,,,-2.32,,,,,,,,,,,,,,,,,,,,,5.18,,,,2.57,,,,,,,-0.12,,,,,,,,,,,,-1.21,,,,,-1.24,,,,,,,,,,,,,,,,<-0.1,,,,,,,,,,Yelland
7429,0,ROE10c,Roederer+2010c,HD 218857,HD 218857,,,,MP,,,,,23:11:24.600,-16:15:03.960,347.8525,-16.2511,,,,9.6,9.0,,,7.397,6.991,6.873,,,-1.9,,,,,,,,,,,,,,,,,,,,,5.6,,,,2.64,,,,,,,-0.19,,,,,,,,,,,,-1.16,,,,,-1.42,,,,,,,,,,,,,,,,<0.55,,,,,,,,,,Yelland
7430,0,ROE10c,Roederer+2010c,HD 220838,HD 220838,,,,MP,,,,,23:27:16.488,-26:58:58.080,351.8187,-26.9828,,,,10.5,9.39,,,7.226,6.667,6.483,,,-1.8,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,0.47,,,,,,,,,,,,-0.76,,,,,-0.93,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Yelland
7431,0,ROE10c,Roederer+2010c,HD 221170,HD 221170,,,,VMP,,,,,23:29:28.800,+30:25:57.720,352.37,30.4327,,,9.43,8.74,7.66,,,5.532,4.987,4.836,,,-2.16,,,,,,,,,,,,,,,,,,,,,5.34,,,,2.51,,,,,,,-0.08,,,,,,,,,,,,-0.73,,,,,-0.86,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,Yelland
7432,0,ROE10c,Roederer+2010c,HD 233666,HD 233666,,,,MP,,,,,09:42:19.464,+53:28:26.040,145.5811,53.4739,,,,9.94,9.3,,,7.86,7.467,7.367,,,-1.79,,,,,,,,,,,,,,,,,,,,,5.71,,,,2.88,,,,,,,0.22,,,,,,,,,,,,-0.68,,,,,-1.03,,,,,,,,,,,,,,,,<0.4,,,,,,,,,,Yelland
7433,1,ROE10c,Roederer+2010c,HD 235766,HD 235766,,,,MP,,,,,22:14:47.160,+50:47:15.360,333.6965,50.7876,,,,10.03,9.01,,,6.718,6.092,5.958,,,-1.93,,,,,,,,,,,,,,,,,,,,,5.57,,,,,,,,,,,,,,,,,,,,,,,-0.6,,,,,-0.86,,,,,,,,,,,,,,,,0.1,,,,,,,,,,Yelland
7434,0,ROE10c,Roederer+2010c,HD 237846,HD 237846,,,,EMP,,SS,Helmi,,09:52:38.688,+57:54:58.680,148.1612,57.9163,,,,10.6,9.95,,,8.355,7.931,7.816,,,-3.29,,,,,,,,,,,,,,,,,,,,,4.21,,,,1.69,,,,,,,-1.56,,,,,,,,,,,,,,,,,-3.1,,,,,,,,,,,,,,,,0.29,,,,,,,,,,Yelland
7435,0,ROE10c,Roederer+2010c,HE 0430-4901,HE 0430-4901,,,,VMP,,,,,04:31:31.128,-48:54:41.400,67.8797,-48.9115,,,,,14.572,,13.77,13.309,12.883,12.811,,,-2.72,,,,,,,,,,,,,,,,,,,,,4.78,,,,,,,,,,,-0.45,,,,,,,,,,,,,,,,,-1.05,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7436,0,ROE10c,Roederer+2010c,HE 0432-0923,HE 0432-0923,,,,EMP,,,,,04:34:25.680,-09:16:50.520,68.607,-9.2807,,,,,15.165,,14.14,13.527,13.045,12.973,,,-3.19,,,,,,,,,,,,,,,,,,,,,4.31,,,,,,,,,,,-0.44,,,,,,,,,,,,,,,,,-1.43,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7437,0,ROE10c,Roederer+2010c,HE 1127-1143,HE 1127-1143,,,,VMP,,,,,11:29:50.616,-12:00:12.600,172.4609,-12.0035,,,,,15.885,15.434,15.002,14.471,14.033,14.044,,,-2.73,,,,,,,,,,,,,,,,,,,,,4.77,,,,,,,,,,,-0.27,,,,,,,,,,,,,,,,,-1.14,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7438,0,ROE10c,Roederer+2010c,HE 1219-0312,HE 1219-0312,,,,VMP,,,,,12:21:34.152,-03:28:39.720,185.3923,-3.4777,,,,,15.94,,15.043,14.493,14.017,13.892,,,-2.97,,,,,,,,,,,,,,,,,,,,,4.53,,,,1.78,,,,,,,-0.4,,,,,,,,,,,,-0.75,,,,,-0.98,,,,,,,,,,,,,,,,<0.53,,,,,,,,,,Yelland
7439,0,ROE10c,Roederer+2010c,HE 1523-0901,HE 1523-0901,,,,VMP,,,,,15:26:01.080,-09:11:38.760,231.5045,-9.1941,,,,12.37,11.5,10.476,9.863,9.027,8.421,8.352,,,-2.95,,,,,,,,,,,,,,,,,,,,,4.55,,,,,,,,,,,-0.27,,,,,,,,,,,,-0.63,,,,,-0.62,,,,,,,,,,,,,,,,<-0.2,,,,,,,,,,Yelland
7440,0,ROE10c,Roederer+2010c,HE 2224+0143,HE 2224+0143,,,,VMP,,,,,22:27:23.112,+01:58:33.240,336.8463,1.9759,,,,14.54,13.83,13.208,12.733,12.193,11.731,11.613,,,-2.58,,,,,,,,,,,,,,,,,,,,,4.92,,,,2.29,,,,,,,-2.22,,,,,,,,,,,,-0.77,,,,,-1.02,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7441,0,ROE10c,Roederer+2010c,HE 2327-5642,HE 2327-5642,,,,VMP,,,,,23:30:37.080,-56:26:14.280,352.6545,-56.4373,,,,14.59,13.881,13.425,12.948,12.422,11.908,11.87,,,-2.79,,,,,,,,,,,,,,,,,,,,,4.71,,,,1.83,,,,,,,-0.69,,,,,,,,,,,,-1.1,,,,,-1.29,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7442,1,ROE10c,Roederer+2010c,M5 IV-81,NGC  5904   865,,,,MP,,GC,M5,RG,15:18:44.952,+02:02:03.480,229.6873,2.0343,,,,13.89,12.2,,10.6289,9.583,8.751,8.63,,,-1.28,,,,,,,,,,,,,,,,,,,,,6.22,,,,3.21,,,,,,,1.15,,,,,,,,,,,,0.11,,,,,-0.31,,,,,,,,,,,,,,,,0.35,,,,,,,,,,Yelland
7443,1,ROE10c,Roederer+2010c,M5 IV-82,NGC  5904   860,,,,MP,,GC,M5,RG,15:18:44.496,+02:02:05.280,229.6854,2.0348,,,,14.46,13.23,,12.0046,11.075,10.473,10.304,,,-1.33,,,,,,,,,,,,,,,,,,,,,6.17,,,,3.21,,,,,,,1,,,,,,,,,,,,0.11,,,,,-0.23,,,,,,,,,,,,,,,,0.25,,,,,,,,,,Yelland
7444,1,ROE10c,Roederer+2010c,M13 L598,NGC  6205   598,,,,MP,,GC,M13,RG,16:41:41.952,+36:26:51.720,250.4248,36.4477,,,,13.64,12.0,,,9.276,8.493,8.335,,,-1.56,,,,,,,,,,,,,,,,,,,,,5.94,,,,,,,,,,,0.55,,,,,,,,,,,,-0.34,,,,,-0.58,,,,,,,,,,,,,,,,0.09,,,,,,,,,,Yelland
7445,1,ROE10c,Roederer+2010c,M13 L629,2MASS J16414255+3626563,,,,MP,,GC,M13,RG,16:41:42.552,+36:26:56.040,250.4273,36.4489,,,,13.42,11.94,,,9.341,8.583,8.418,,,-1.63,,,,,,,,,,,,,,,,,,,,,5.87,,,,,,,,,,,0.63,,,,,,,,,,,,-0.35,,,,,-0.61,,,,,,,,,,,,,,,,0.12,,,,,,,,,,Yelland
7446,1,ROE10c,Roederer+2010c,M13 L70,NGC  6205    70,,,,MP,,GC,M13,RG,16:41:23.520,+36:30:17.280,250.348,36.5048,,,,13.71,12.12,,,9.394,8.659,8.527,,,-1.59,,,,,,,,,,,,,,,,,,,,,5.91,,,,,,,,,,,0.5,,,,,,,,,,,,-0.23,,,,,-0.58,,,,,,,,,,,,,,,,0.09,,,,,,,,,,Yelland
7447,1,ROE10c,Roederer+2010c,M13 L973,NGC  6205   973,,,,MP,,GC,M13,RG,16:41:50.904,+36:28:54.480,250.4621,36.4818,,,,13.65,11.91,,,9.357,8.59,8.452,,,-1.61,,,,,,,,,,,,,,,,,,,,,5.89,,,,,,,,,,,0.55,,,,,,,,,,,,-0.27,,,,,-0.51,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,Yelland
7448,1,ROE10c,Roederer+2010c,M15 K341,NGC  7078   341,,,,VMP,,GC,M15,RG,21:29:54.936,+12:13:22.440,322.4789,12.2229,,,,13.72,12.54,,11.22,10.455,9.796,9.695,,,-2.54,,,,,,,,,,,,,,,,,,,,,4.96,,,,2.04,,,,,,,-0.49,,,,,,,,,,,,-1.28,,,,,-1.52,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7449,1,ROE10c,Roederer+2010c,M15 K462,NGC  7078   462,,,,VMP,,GC,M15,RG,21:29:56.664,+12:09:46.440,322.4861,12.1629,,,,14.45,12.9,,,10.534,9.86,9.722,,,-2.55,,,,,,,,,,,,,,,,,,,,,4.95,,,,2,,,,,,,-0.41,,,,,,,,,,,,-1.03,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7450,1,ROE10c,Roederer+2010c,M15 K583,NGC  7078   583,,,,VMP,,GC,M15,RG,21:29:58.560,+12:09:21.240,322.494,12.1559,,,,14.26,12.83,,,,9.726,9.569,,,-2.58,,,,,,,,,,,,,,,,,,,,,4.92,,,,1.99,,,,,,,-0.63,,,,,,,,,,,,-1.52,,,,,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7451,1,ROE10c,Roederer+2010c,M92 VII-18,NGC  6341  7018,,,,VMP,,GC,M92,RG,17:16:37.488,+43:06:15.480,259.1562,43.1043,,,,13.47,12.18,,,9.885,9.228,9.123,,,-2.29,,,,,,,,,,,,,,,,,,,,,5.21,,,,,,,,,,,-0.2,,,,,,,,,,,,-1.29,,,,,-1.45,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7452,1,ROE10c,Roederer+2010c,NGC 6752 B702,Cl* NGC 6752   BUON     702,,,,MP,,GC,NGC 6752,RG,19:11:30.480,-59:54:34.920,287.877,-59.9097,,,,,10.83,10.705,,7.939,7.202,6.887,,,-1.58,,,,,,,,,,,,,,,,,,,,,5.92,,,,,,,,,,,0.67,,,,,,,,,,,,-0.39,,,,,-0.78,,,,,,,,,,,,,,,,0.27,,,,,,,,,,Yelland
7453,1,ROE10c,Roederer+2010c,NGC 6752 B708,Cl* NGC 6752   BUON     708,,,,MP,,GC,NGC 6752,,19:11:30.192,-59:54:31.320,287.8758,-59.9087,,,,,10.58,10.507,9.16,7.761,7.001,6.804,,,-1.63,,,,,,,,,,,,,,,,,,,,,5.87,,,,,,,,,,,0.62,,,,,,,,,,,,-0.5,,,,,-0.83,,,,,,,,,,,,,,,,0.17,,,,,,,,,,Yelland
7454,1,ROE10c,Roederer+2010c,NGC 6752 PD1,Cl* NGC 6752     MG       0,,,,MP,,GC,NGC 6752,RG,19:10:57.360,-59:58:05.520,287.739,-59.9682,,,,12.29,10.7,10.477,9.4,8.072,7.26,7.073,,,-1.62,,,,,,,,,,,,,,,,,,,,,5.88,,,,,,,,,,,0.66,,,,,,,,,,,,-0.45,,,,,-0.78,,,,,,,,,,,,,,,,0.03,,,,,,,,,,Yelland
7455,1,ROE10c,Roederer+2010c,NGC 6752 B1630,Cl* NGC 6752     GA      31,,,,MP,,GC,NGC 6752,,19:11:11.304,-59:59:55.320,287.7971,-59.9987,,,,12.52,10.833,,,8.003,7.22,6.983,,,-1.6,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,0.65,,,,,,,,,,,,-0.45,,,,,-0.74,,,,,,,,,,,,,,,,0.25,,,,,,,,,,Yelland
7456,1,ROE10c,Roederer+2010c,NGC 6752 B3589,NGC  6752    59,,,,MP,,GC,NGC 6752,RG,19:10:32.232,-59:57:07.200,287.6343,-59.952,,,,12.58,10.887,,,8.151,7.393,7.181,,,-1.59,,,,,,,,,,,,,,,,,,,,,5.91,,,,,,,,,,,0.72,,,,,,,,,,,,-0.41,,,,,-0.72,,,,,,,,,,,,,,,,0.18,,,,,,,,,,Yelland
7457,0,ROE10c,Roederer+2010c,UMi COS82,2MASS J15095862+6716200,,,,MP,,DW,Ursa Minor,RG,15:09:58.608,+67:16:19.920,227.4942,67.2722,,,,18.53,17.006,,15.614,14.76,14.1,13.9,,,-1.42,,,,,,,,,,,,,,,,,,,,,6.08,,,,2.82,,,,,,,1.22,,,,,,,,,,,,0.52,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
