StarID,Species,lambda,References,EW,logepsX
635,Ti I,612.6215,-1.425,MFW,6.99,4.33
635,V I,573.7059,-0.740,MFW,3.80,3.14
635,V I,613.5361,-0.746,MFW,3.14,2.98
635,V I,615.0157,-1.780,MFW,0.0,0.0
635,Cr II,488.4607,-2.080,MFW,3.59,5.31
635,Mn I,511.7900,-1.140,MFW,0.02,4.60
635,Fe I,489.2859,-1.290,FMW,0.0,0.0
635,Fe I,506.7151,-0.970,FMW,8.42,7.01
635,Fe I,510.4438,-1.690,FMW,4.51,7.02
635,Fe I,510.9652,-0.980,FMW,9.51,7.33
635,Fe I,552.5545,-1.330,FMW,8.14,7.26
635,Fe I,585.5076,-1.760,FMW,3.57,7.26
635,Fe I,585.6087,-1.640,FMW,5.52,7.13
635,Fe I,585.8779,-2.260,FMW,2.88,7.15
635,Fe I,586.1109,-2.450,FMW,0.0,0.0
635,Fe I,587.7794,-2.230,FMW,3.84,7.26
635,Fe I,588.3817,-1.360,FMW,0.0,0.0
635,Fe I,615.1616,-3.299,FMW,0.0,0.0
635,Fe I,616.5360,-1.550,FMW,6.22,6.96
635,Fe I,618.7990,-1.720,FMW,7.51,7.12
635,Fe I,649.6465,-0.570,FMW,7.73,7.05
635,Fe I,670.3565,-3.160,FMW,0.0,0.0
635,Fe II,483.3197,-4.780,FMW,0.0,0.0
635,Fe II,492.3927,-1.320,FMW,0.0,0.0
635,Fe II,499.3358,-3.650,FMW,6.35,7.18
635,Fe II,510.0664,-4.370,FMW,4.30,7.45
635,Fe II,513.2669,-4.180,FMW,4.01,7.19
635,Fe II,516.1184,-4.483,K88,0.0,0.0
635,Fe II,525.6937,-4.250,K88,3.36,7.21
635,Fe II,526.4812,-3.190,FMW,0.0,0.0
635,Fe II,614.9259,-2.724,K88,3.55,6.91
635,Co I,533.1700,-6.473,K88,0.02,3.93
635,Co I,553.0700,-2.060,FMW,0.02,4.11
635,Ni I,585.7747,-0.636,K88,0.0,0.0
635,Ni I,612.8963,-3.330,FMW,4.16,5.15
635,Ni I,613.0130,-0.960,FMW,2.22,5.56
