ID,Simbad_Identifier,UFD,Starname,RA_hms,DEC_dms,R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source
165,Gaia DR3 1230853376955406848,Bootes I,,209.95224,14.70124,1.22,111.75,19.82,0.86,0.95,-2.19,k,p
166,Gaia DR3 1230834620833562624,Bootes I,,209.96213,14.50077,0.43,99.94,16.51,1.43,1.00,-2.26,k,p
167,Gaia DR3 1230848600951721472,Bootes I,,209.96544,14.59537,0.68,99.94,18.83,1.10,0.98,-2.33,k,p
168,Gaia DR3 1230833413947850752,Bootes I,,209.97132,14.45955,0.41,104.70,20.36,0.95,0.98,-2.56,k,p
169,Gaia DR3 1230836471964048896,Bootes I,,210.00099,14.54305,0.29,108.27,20.12,1.01,0.99,-1.78,k,p
170,Gaia DR3 1230823724501603328,Bootes I,,210.00639,14.36506,0.73,103.50,19.35,1.03,0.99,-2.50,k,p
171,Gaia DR3 1230836643762759424,Bootes I,,210.02152,14.57439,0.40,104.05,20.46,0.98,0.97,-2.82,k,p
172,Gaia DR3 1230848978908853248,Bootes I,,210.03612,14.61508,0.62,103.07,20.40,0.80,0.90,-2.32,k,p
173,Gaia DR3 1230835170589373952,Bootes I,,210.04457,14.49012,0.15,103.55,19.12,1.05,1.00,-2.28,k,p
174,Gaia DR3 1230835131934224384,Bootes I,,210.06929,14.49041,0.31,97.21,20.84,1.57,0.89,-2.51,k,p
175,Gaia DR3 1230836059647199744,Bootes I,,210.10483,14.56298,0.62,100.22,20.52,0.84,0.94,-2.59,k,p
176,Gaia DR3 1230832211356461056,Bootes I,,210.10625,14.48813,0.57,102.16,20.57,0.63,0.84,-2.42,k,p
177,Gaia DR3 1230831597176581120,Bootes I,,210.15579,14.48278,0.91,106.95,16.37,1.47,1.00,-2.26,k,p
178,Gaia DR3 1230783626686364672,Bootes I,,210.19813,14.40335,1.33,117.74,20.52,0.86,0.74,-2.60,k,p
179,Gaia DR3 1230850009701023232,Bootes I,,209.96388,14.65162,0.94,111.07,19.57,0.29,1.00,,k,p
180,Gaia DR3 1230848807110164736,Bootes I,,209.97871,14.62095,0.74,109.80,19.54,0.22,0.99,,k,p
181,Gaia DR3 1230848463512766720,Bootes I,,210.00312,14.59139,0.52,99.52,19.83,-0.10,1.00,,k,p
182,Gaia DR3 1230836953000413696,Bootes I,,210.06912,14.59167,0.56,99.39,19.62,0.40,1.00,,k,p
183,Gaia DR3 1230860867378343680,Bootes I,,210.09209,14.64394,0.87,93.84,19.54,0.13,1.00,,k,p
184,Gaia DR3 1230860798658865664,Bootes I,,210.11267,14.64176,0.93,105.37,19.65,0.23,1.00,,k,p
185,Gaia DR3 1230831524161686016,Bootes I,,210.16485,14.47441,0.98,95.13,19.65,0.14,1.00,,k,p
186,Gaia DR3 1230823174745775104,Bootes I,,209.95890,14.32901,0.99,102.50,19.74,0.77,0.11,-2.13,p
187,Gaia DR3 1230834753977115904,Bootes I,,209.97391,14.51555,0.37,124.70,20.10,0.92,0.00,-0.97,p
188,Gaia DR3 1230848326073804288,Bootes I,,209.98326,14.57381,0.50,114.80,19.08,0.95,0.00,-1.22,p
189,Gaia DR3 1230830081053217792,Bootes I,,210.00688,14.41519,0.46,93.80,18.62,1.04,0.00,-1.27,p
190,Gaia DR3 1230873649201036800,Bootes I,,210.00929,14.68729,1.02,80.40,20.30,0.72,0.00,-1.18,p
191,Gaia DR3 1230829673030965504,Bootes I,,210.01017,14.38032,0.64,103.90,20.68,1.03,0.00,-2.19,p
192,Gaia DR3 1230835097574485504,Bootes I,,210.05097,14.48945,0.19,99.20,20.92,-0.08,0.00,-2.53,p
193,Gaia DR3 1230872584049134080,Bootes I,,210.06110,14.65854,0.87,101.00,20.92,0.22,0.00,-2.19,p
194,Gaia DR3 1230832250011670784,Bootes I,,210.11075,14.49690,0.59,107.40,20.70,0.83,0.92,-2.38,p
195,Gaia DR3 1230829256419219456,Bootes I,,210.11834,14.39796,0.87,100.00,21.00,0.92,0.00,-2.70,p
196,Gaia DR3 1230784313881154048,Bootes I,,210.19823,14.44174,1.25,98.20,20.87,0.33,0.00,-2.58,p
197,,Bootes I,SDSS J135933.50+142821.6,209.88958,14.47267,0.93,117.80,21.58,0.07,0.00,-3.14,p
198,,Bootes I,SDSS J135937.60+142647.6,209.90667,14.44656,0.84,102.70,21.31,0.08,0.00,-2.44,p
199,,Bootes I,SDSS J135945.72+142230.9,209.94050,14.37525,0.85,90.30,21.41,0.06,0.00,-2.02,p
200,,Bootes I,SDSS J135947.06+142852.5,209.94608,14.48125,0.54,103.70,21.20,0.00,0.00,-2.07,p
201,,Bootes I,SDSS J135950.75+143114.2,209.96146,14.52061,0.46,94.80,21.45,0.12,0.00,-2.04,p
202,,Bootes I,SDSS J140000.99+143126.7,210.00412,14.52408,0.20,107.60,21.55,-0.03,0.00,-2.47,p
203,,Bootes I,SDSS J140010.61+143823.8,210.04421,14.63994,0.75,101.10,19.54,0.22,0.00,-2.37,p
204,,Bootes I,SDSS J140015.80+143446.8,210.06588,14.57967,0.49,118.60,21.53,-0.03,0.00,-2.93,p
205,,Bootes I,SDSS J140023.33+142607.9,210.09721,14.43556,0.62,93.40,21.53,0.10,0.00,-1.11,p
206,,Bootes I,SDSS J140028.93+142502.2,210.12058,14.41728,0.82,101.30,21.54,0.05,0.00,-2.33,p
207,,Bootes I,SDSS J140057.91+142854.0,210.24133,14.48167,1.49,98.50,21.34,-0.02,0.00,-2.05,p
208,Gaia DR3 1230849361161115904,Bootes I,,210.01448,14.66452,0.89,105.50,21.38,1.07,0.00,,p
209,,Bootes I,SDSS J135934.37+143017.1,209.89321,14.50475,0.91,77.90,21.62,0.09,0.00,,p
210,,Bootes I,SDSS J135945.70+142552.5,209.94046,14.43125,0.66,99.00,22.03,0.09,0.00,,p
211,,Bootes I,SDSS J135951.07+143049.8,209.96283,14.51383,0.44,104.80,21.68,0.03,0.00,,p
212,,Bootes I,SDSS J135953.00+142232.1,209.97088,14.37558,0.74,102.30,21.93,-0.06,0.00,,p
213,,Bootes I,SDSS J140002.28+142653.4,210.00954,14.44817,0.29,108.70,21.47,0.11,0.00,,p
214,,Bootes I,SDSS J140010.30+142626.5,210.04296,14.44072,0.35,102.10,21.70,0.09,0.00,,p
215,,Bootes I,SDSS J140020.58+143734.0,210.08579,14.62611,0.77,104.40,21.87,0.02,0.00,,p
216,,Bootes I,SDSS J140023.37+143245.2,210.09742,14.54589,0.54,97.40,21.28,-0.06,0.00,,p
217,Gaia DR3 1230834925776358656,Bootes I,,209.94143,14.52796,0.60,131.30,19.46,0.51,0.99,,l
218,Gaia DR3 1230841110529260032,Bootes I,,209.75971,14.50644,1.82,92.14,17.64,1.16,1.00,,l
219,Gaia DR3 1230819841851105536,Bootes I,,209.90330,14.19465,1.78,91.00,19.08,1.12,0.99,,l
