JINA_ID,I/O,Ref,Reference,Name,Simbad_Identifier,ulli,ulbe,ulc,uln,ulo,ulf,ulna,ulmg,ulal,ulsi,ulp,uls,ulk,ulca,ulsc,ulti1,ulv,ulcr,ulmn,ulfe,ulco,ulni,ulcu,ulzn,ulga,ulge,ulas,ulse,ulrb,ulsr,uly,ulzr,ulnb,ulmo,ulru,ulrh,ulpd,ulag,ulcd,ulsn,ulte,ulba,ulla,ulce,ulpr,ulnd,ulsm,uleu,ulgd,ultb,uldy,ulho,uler,ultm,ulyb,ullu,ulhf,ulw,ulos,ulir,ulpt,ulau,ulhg,ulpb,ulbi,ulth,ulu,ulca2,ulti,ulv2,ulcr2,ulmn2,ulfe2
1529,0,JI16b,Ji+2016b,Star4,[WMO2015] 115,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1530,1,ROE16b,Roederer+2016b,Star3(Ret2-115),[WMO2015] 115,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,1,1,1,1,1,1,1,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1531,1,JI16b,Ji+2016b,Star6,[WMO2015] 35,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,1,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1532,1,JI16b,Ji+2016b,Star5,[KCB2015] Reti 15,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1533,1,JI16b,Ji+2016b,Star7,DES J033556.28-540316.3,*,*,1,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,1,*,1,1,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1534,0,JI16b,Ji+2016b,Star2,[KCB2015] Reti 18,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1535,1,ROE16b,Roederer+2016b,Star4(Ret2-178),[KCB2015] Reti 18,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,1,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1536,1,ROE14c,Roederer+2014c,G10-54,G  10-54,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,1,1,1,1,1,1,1,1,*,*,1,*,*,1,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*
1537,1,FUL00,Fulbright+2000,G97-40,G 102-1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1538,1,RYA96,Ryan+1996,G108-33,G 108-33,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
