ID,Name,Simbad_Identifier,RA_hms,DEC_dms,gmag,imag,Xpix,Ypix,Rad,Vel,System
1049,BooI-1049,[NWG2010] BooI 1049,13:59:37.88,+15:11:39.5,19.24,18.35,-6.8,41.7,42.2,-20,
1051,BooI-1051,[NWG2010] BooI 1051,13:58:44.21,+13:41:05.8,19.49,18.76,-19.9,-48.9,52.8,-56,
1082,BooI-1082,[NWG2010] BooI 1082,13:58:34.41,+13:42:07.5,20.22,19.54,-22.2,-47.9,52.8,0,
1090,BooI-1090,[NWG2010] BooI 1090,13:58:33.05,+13:49:17.3,20.27,19.61,-22.6,-40.7,46.5,-95,
1124,BooI-1124,[NWG2010] BooI 1124,13:58:23.90,+13:55:14.8,17.89,16.67,-24.8,-34.7,42.7,-42,
1126,BooI-1126,[NWG2010] BooI 1126,13:58:16.42,+13:42:49.4,20.74,20.05,-26.6,-47.1,54.1,-52,
1133,BooI-1133,[NWG2010] BooI 1133,13:58:37.31,+14:23:26.0,20.44,19.75,-21.5,-6.5,22.5,-121,
1134,BooI-1134,[NWG2010] BooI 1134,13:58:23.81,+14:01:19.5,18.45,17.44,-24.8,-28.7,37.9,-47,
1177,BooI-1177,[NWG2010] BooI 1177,13:58:05.96,+13:56:19.6,18.79,17.90,-29.1,-33.6,44.5,-44,
1182,BooI-1182,[NWG2010] BooI 1182,13:58:20.67,+14:25:03.7,20.39,19.73,-25.5,-4.9,26.0,327,
1186,BooI-1186,[NWG2010] BooI 1186,13:58:32.07,+14:46:03.1,18.93,17.96,-22.7,16.1,27.8,-15,
1207,BooI-1207,[NWG2010] BooI 1207,13:58:01.58,+14:09:25.0,18.31,17.28,-30.2,-20.5,36.5,-113,
1225,BooI-1225,[NWG2010] BooI 1225,13:57:41.79,+13:47:16.5,20.56,19.78,-35.0,-42.7,55.2,2,
1254,BooI-1254,[NWG2010] BooI 1254,13:57:40.05,+14:02:04.8,20.55,19.91,-35.4,-27.9,45.1,-22,
1259,BooI-1259,[NWG2010] BooI 1259,13:57:35.61,+13:57:04.9,19.30,18.39,-36.5,-32.9,49.1,-46,
1260,BooI-1260,[NWG2010] BooI 1260,13:57:42.24,+14:09:43.9,19.44,18.54,-34.8,-20.2,40.3,-78,
1264,BooI-1264,[NWG2010] BooI 1264,13:57:42.11,+14:12:27.8,18.49,17.39,-34.9,-17.5,39.0,-11,
1271,BooI-1271,[NWG2010] BooI 1271,13:58:10.50,+15:04:50.4,18.56,17.59,-27.9,34.9,44.6,-52,
1297,BooI-1297,[NWG2010] BooI 1297,13:57:32.72,+14:15:49.1,20.32,19.54,-37.1,-14.1,39.7,-115,
1313,BooI-1313,[NWG2010] BooI 1313,13:57:28.72,+14:18:30.3,19.73,18.96,-38.1,-11.4,39.8,59,
1349,BooI-1349,[NWG2010] BooI 1349,13:57:02.69,+13:59:18.3,19.05,18.17,-44.5,-30.6,54.0,-100,
1378,BooI-1378,[NWG2010] BooI 1378,13:56:50.62,+13:54:02.0,20.50,19.74,-47.4,-35.9,59.5,40,
1391,BooI-1391,[NWG2010] BooI 1391,13:56:49.09,+13:59:08.2,18.74,17.77,-47.8,-30.8,56.8,-93,
1439,BooI-1439,[NWG2010] BooI 1439,13:56:50.63,+14:31:58.7,19.50,18.65,-47.3,2.1,47.3,17,
1449,BooI-1449,[NWG2010] BooI 1449,13:56:35.02,+14:11:13.3,18.29,17.28,-51.1,-18.7,54.4,-34,
1462,BooI-1462,[NWG2010] BooI 1462,13:56:36.17,+14:24:15.0,20.22,19.46,-50.8,-5.7,51.1,-34,
1473,BooI-1473,[NWG2010] BooI 1473,13:56:19.22,+14:05:49.2,19.61,18.82,-55.0,-24.1,60.0,19,
1483,BooI-1483,[NWG2010] BooI 1483,13:56:19.44,+14:22:25.6,18.76,17.81,-54.9,-7.5,55.4,35,
