Species, N  , ID                      , l_logepsX, logepsX, e_logepsX, l_[X/H], [X/H], l_[X/Fe], [X/Fe]
C-H    ,   1, 2MASS J09380777-0600392 , <        , 6.75   ,      0.05, <      , -1.68, <       , 1.0
C-H    ,   2, SMSS J093829.27-070520.9,          , 6.45   ,      0.1 ,        , -1.98,         , 0.37
C-H    ,   2, SMSS J094029.05-060935.0,          , 5.12   ,      0.22,        , -3.3 ,         , -0.12
C-H    ,   2, SMSS J094755.04-102724.7,          , 5.62   ,      0.03,        , -2.8 ,         , 0.19
C-H    ,   2, SMSS J095120.49-401431.3,          , 6.8    ,      0.0 ,        , -1.63,         , -0.15
C-H    ,   2, SMSS J100251.13-000152.1,          , 6.15   ,      0.05,        , -2.28,         , 0.34
C-H    ,   2, 2MASS J10242264-2904203 ,          , 5.25   ,      0.05,        , -3.18,         , -0.05
C-H    ,   0, 2MASS J10275895-3006391 ,          ,        ,          ,        ,      ,         , 
C-H    ,   0, 2MASS J10283035-2951115 ,          ,        ,          ,        ,      ,         , 
C-H    ,   2, 2MASS J10294248-0103238 ,          , 5.7    ,      0.0 ,        , -2.73,         , -0.34
C-H    ,   2, SMSS J105320.99-435300.1,          , 6.66   ,      0.04,        , -1.77,         , 0.09
C-H    ,   2, SMSS J105438.86-435819.9,          , 6.55   ,      0.1 ,        , -1.88,         , 0.1
C-H    ,   1, SMSS J110850.60-080034.7, <        , 5.68   ,      0.02, <      , -2.75, <       , 0.15
C-H    ,   2, SMSS J121353.63-441911.2,          , 6.12   ,      0.03,        , -2.3 ,         , 0.29
C-H    ,   2, SMSS J121716.48-442510.2,          , 6.14   ,      0.01,        , -2.29,         , -0.19
C-H    ,   2, SMSS J122455.61-151134.0,          , 5.95   ,      0.05,        , -2.48,         , 0.14
C-H    ,   2, SMSS J123158.00-162317.6,          , 6.42   ,      0.12,        , -2.0 ,         , 0.62
C-H    ,   2, SMSS J123246.06-054559.1,          , 5.58   ,      0.08,        , -2.85,         , 0.18
C-H    ,   2, SMSS J125115.37-331448.1,          , 5.95   ,      0.0 ,        , -2.48,         , 0.16
C-H    ,   2, SMSS J125125.64-340343.4,          , 6.0    ,      0.0 ,        , -2.43,         , 0.09
C-H    ,   2, SMSS J125451.18-334440.3,          , 5.55   ,      0.1 ,        , -2.88,         , -0.07
C-H    ,   2, SMSS J125804.65-335045.1,          , 5.6    ,      0.05,        , -2.83,         , 0.61
C-H    ,   2, SMSS J130537.01-294438.3,          , 5.9    ,      0.05,        , -2.53,         , -0.18
C-H    ,   2, SMSS J133013.61-434632.4,          , 5.57   ,      0.02,        , -2.86,         , -0.32
C-H    ,   2, SMSS J133532.32-210632.9,          , 5.2    ,      0.1 ,        , -3.23,         , -0.5
C-H    ,   2, SMSS J135217.78-151405.7,          , 6.1    ,      0.1 ,        , -2.33,         , 0.23
C-H    ,   2, SMSS J135625.09-161538.7,          , 5.85   ,      0.05,        , -2.58,         , 0.18
C-H    ,   2, SMSS J135819.95-150937.4,          , 6.08   ,      0.08,        , -2.35,         , 0.23
C-H    ,   2, SMSS J141547.72-414034.0,          , 6.3    ,      0.0 ,        , -2.13,         , 0.13
C-H    ,   2, SMSS J143511.34-420326.5,          , 5.55   ,      0.05,        , -2.88,         , 0.27
C-H    ,   2, SMSS J151101.05-182103.0,          , 5.76   ,      0.04,        , -2.67,         , 0.04
C-H    ,   2, SMSS J151450.18-182946.0,          , 5.35   ,      0.05,        , -3.08,         , -0.35
C-H    ,   2, SMSS J155430.57-263904.8,          , 5.56   ,      0.06,        , -2.87,         , -0.26
C-H    ,   2, SMSS J155628.74-165533.4,          , 6.0    ,      0.05,        , -2.43,         , 0.36
